contig	start_1based	end_1based	feature_id	strand	length_bp	mean_depth_mq0	covered_fraction_mq0	mean_depth_mq20	covered_fraction_mq20
Pcub-SC1982_002	3023547	3033546	window_0051	.	10000	101.390800	1.000000	101.390800	1.000000
Pcub-SC1982_002	3033547	3043546	window_0052	.	10000	93.753900	1.000000	93.753900	1.000000
Pcub-SC1982_002	3043547	3053546	window_0053	.	10000	102.710100	1.000000	102.710100	1.000000
Pcub-SC1982_002	3053547	3063546	window_0054	.	10000	80.097900	1.000000	80.097900	1.000000
Pcub-SC1982_002	3063547	3073546	window_0055	.	10000	103.341200	1.000000	103.341200	1.000000
Pcub-SC1982_002	3073547	3083546	window_0056	.	10000	101.603800	1.000000	101.603800	1.000000
Pcub-SC1982_002	3083547	3093546	window_0057	.	10000	72.695400	1.000000	72.157700	1.000000
Pcub-SC1982_002	3093547	3103546	window_0058	.	10000	70.479500	1.000000	70.479500	1.000000
Pcub-SC1982_002	3103547	3113546	window_0059	.	10000	131.566600	1.000000	120.077500	1.000000
Pcub-SC1982_002	3113547	3123546	window_0060	.	10000	75.717200	1.000000	74.895700	1.000000
Pcub-SC1982_002	3123547	3133546	window_0061	.	10000	82.931400	1.000000	82.931400	1.000000
Pcub-SC1982_002	3133547	3143546	window_0062	.	10000	128.836500	1.000000	128.836500	1.000000
Pcub-SC1982_002	3143547	3153546	window_0063	.	10000	79.731300	1.000000	79.731300	1.000000
Pcub-SC1982_002	3153547	3163546	window_0064	.	10000	85.837700	1.000000	85.803100	1.000000
Pcub-SC1982_002	3163547	3173546	window_0065	.	10000	105.707500	1.000000	105.707500	1.000000
Pcub-SC1982_002	3173547	3183546	window_0066	.	10000	104.291600	1.000000	104.291600	1.000000
Pcub-SC1982_002	3183547	3193546	window_0067	.	10000	787.951900	1.000000	232.522700	1.000000
Pcub-SC1982_002	3193547	3203546	window_0068	.	10000	162.279100	1.000000	127.232000	1.000000
Pcub-SC1982_002	3203547	3213546	window_0069	.	10000	96.338100	1.000000	96.338100	1.000000
Pcub-SC1982_002	3213547	3223546	window_0070	.	10000	98.712000	1.000000	98.712000	1.000000
Pcub-SC1982_002	3223547	3233546	window_0071	.	10000	79.487100	1.000000	79.487100	1.000000
Pcub-SC1982_002	3233547	3243546	window_0072	.	10000	93.470700	1.000000	93.470700	1.000000
Pcub-SC1982_002	3243547	3253546	window_0073	.	10000	260.268100	1.000000	248.101200	1.000000
Pcub-SC1982_002	3253547	3263546	window_0074	.	10000	226.271000	1.000000	153.759400	1.000000
Pcub-SC1982_002	3263547	3273546	window_0075	.	10000	199.079000	1.000000	45.843100	1.000000
Pcub-SC1982_002	3273547	3283546	window_0076	.	10000	118.780400	1.000000	44.102500	1.000000
Pcub-SC1982_002	3283547	3293546	window_0077	.	10000	81.093100	1.000000	29.738600	1.000000
Pcub-SC1982_002	3293547	3303546	window_0078	.	10000	62.612700	1.000000	37.564400	1.000000
Pcub-SC1982_002	3303547	3313546	window_0079	.	10000	46.542100	1.000000	28.487200	1.000000
Pcub-SC1982_002	3313547	3323546	window_0080	.	10000	73.170400	1.000000	56.166400	1.000000
Pcub-SC1982_002	3323547	3333546	window_0081	.	10000	351.929200	1.000000	32.821600	1.000000
Pcub-SC1982_002	3333547	3343546	window_0082	.	10000	202.467100	1.000000	26.942700	1.000000
Pcub-SC1982_002	3343547	3353546	window_0083	.	10000	52.406400	1.000000	35.475100	1.000000
Pcub-SC1982_002	3353547	3363546	window_0084	.	10000	51.439200	1.000000	38.949900	1.000000
Pcub-SC1982_002	3363547	3373546	window_0085	.	10000	56.316700	1.000000	26.813800	1.000000
Pcub-SC1982_002	3373547	3383546	window_0086	.	10000	50.803700	1.000000	38.678500	1.000000
Pcub-SC1982_002	3383547	3393546	window_0087	.	10000	118.861000	1.000000	21.855300	1.000000
Pcub-SC1982_002	3393547	3403546	window_0088	.	10000	64.778600	1.000000	49.652900	1.000000
Pcub-SC1982_002	3403547	3413546	window_0089	.	10000	74.619900	1.000000	45.116800	1.000000
Pcub-SC1982_002	3413547	3423546	window_0090	.	10000	60.618900	1.000000	46.600400	1.000000
Pcub-SC1982_002	3423547	3433546	window_0091	.	10000	156.569300	1.000000	57.485800	1.000000
Pcub-SC1982_002	3433547	3443546	window_0092	.	10000	46.451500	1.000000	40.634800	1.000000
Pcub-SC1982_002	3443547	3453546	window_0093	.	10000	46.387500	1.000000	44.293500	1.000000
Pcub-SC1982_002	3453547	3463546	window_0094	.	10000	3670.157700	1.000000	1827.193500	1.000000
Pcub-SC1982_002	3463547	3473546	window_0095	.	10000	55.637300	1.000000	55.326000	1.000000
Pcub-SC1982_002	3473547	3483546	window_0096	.	10000	66.538000	1.000000	60.213400	1.000000
Pcub-SC1982_002	3483547	3493546	window_0097	.	10000	402.064500	1.000000	279.633800	1.000000
Pcub-SC1982_002	3493547	3503546	window_0098	.	10000	122.256500	1.000000	84.721100	1.000000
Pcub-SC1982_002	3503547	3513546	window_0099	.	10000	51.562700	1.000000	39.974700	1.000000
Pcub-SC1982_002	3513547	3523546	window_0100	.	10000	48.609700	1.000000	30.844200	1.000000
Pcub-SC1982_002	3523547	3533546	window_0101	.	10000	68.580700	1.000000	38.829200	1.000000
Pcub-SC1982_002	3533547	3543546	window_0102	.	10000	57.882700	1.000000	32.511500	1.000000
Pcub-SC1982_002	3543547	3553546	window_0103	.	10000	112.647900	1.000000	68.437000	1.000000
Pcub-SC1982_002	3553547	3563546	window_0104	.	10000	48.577500	1.000000	46.743200	1.000000
Pcub-SC1982_002	3563547	3573546	window_0105	.	10000	335.082200	1.000000	54.760800	1.000000
Pcub-SC1982_002	3573547	3583546	window_0106	.	10000	47.110400	1.000000	43.050200	1.000000
Pcub-SC1982_002	3583547	3593546	window_0107	.	10000	45.753000	1.000000	32.396800	1.000000
Pcub-SC1982_002	3593547	3603546	window_0108	.	10000	42.995500	1.000000	3.046100	1.000000
Pcub-SC1982_002	3603547	3613546	window_0109	.	10000	73.237000	1.000000	19.070700	1.000000
Pcub-SC1982_002	3613547	3623546	window_0110	.	10000	117.233500	1.000000	100.692200	1.000000
Pcub-SC1982_002	3623547	3633546	window_0111	.	10000	569.201200	1.000000	235.633000	1.000000
Pcub-SC1982_002	3633547	3643546	window_0112	.	10000	208.415200	1.000000	158.759100	1.000000
Pcub-SC1982_002	3643547	3653546	window_0113	.	10000	1082.215200	1.000000	197.033900	1.000000
Pcub-SC1982_002	3653547	3663546	window_0114	.	10000	3215.316500	1.000000	1164.243500	1.000000
Pcub-SC1982_002	3663547	3673546	window_0115	.	10000	809.354200	1.000000	430.889100	1.000000
Pcub-SC1982_002	3673547	3683546	window_0116	.	10000	85.249200	1.000000	85.249200	1.000000
Pcub-SC1982_002	3683547	3693546	window_0117	.	10000	95.735500	1.000000	95.735500	1.000000
Pcub-SC1982_002	3693547	3703546	window_0118	.	10000	108.664500	1.000000	108.664500	1.000000
Pcub-SC1982_002	3703547	3713546	window_0119	.	10000	113.380500	1.000000	113.380500	1.000000
Pcub-SC1982_002	3713547	3723546	window_0120	.	10000	117.748000	1.000000	117.748000	1.000000
Pcub-SC1982_002	3723547	3733546	window_0121	.	10000	286.200600	1.000000	284.229300	1.000000
Pcub-SC1982_002	3733547	3743546	window_0122	.	10000	90.777200	1.000000	90.777200	1.000000
Pcub-SC1982_002	3743547	3753546	window_0123	.	10000	100.254700	1.000000	100.254700	1.000000
Pcub-SC1982_002	3753547	3763546	window_0124	.	10000	112.146000	1.000000	112.146000	1.000000
Pcub-SC1982_002	3763547	3773546	window_0125	.	10000	80.325600	1.000000	80.325600	1.000000
Pcub-SC1982_002	3773547	3783546	window_0126	.	10000	108.371300	1.000000	107.543500	1.000000
Pcub-SC1982_002	3783547	3793546	window_0127	.	10000	120.883100	1.000000	120.883100	1.000000
Pcub-SC1982_002	3793547	3803546	window_0128	.	10000	286.858600	1.000000	286.748900	1.000000
Pcub-SC1982_002	3803547	3813546	window_0129	.	10000	88.158200	1.000000	87.330300	1.000000
Pcub-SC1982_002	3813547	3823546	window_0130	.	10000	100.636500	1.000000	100.636500	1.000000
Pcub-SC1982_002	3823547	3833546	window_0131	.	10000	103.567800	1.000000	103.567800	1.000000
Pcub-SC1982_002	3833547	3843546	window_0132	.	10000	102.341500	1.000000	102.341500	1.000000
Pcub-SC1982_002	3843547	3853546	window_0133	.	10000	94.013800	1.000000	94.013800	1.000000
Pcub-SC1982_002	3853547	3863546	window_0134	.	10000	193.155800	1.000000	114.586100	1.000000
Pcub-SC1982_002	3863547	3873546	window_0135	.	10000	451.350700	1.000000	179.327600	1.000000
Pcub-SC1982_002	3873547	3883546	window_0136	.	10000	102.095600	1.000000	87.634400	1.000000
Pcub-SC1982_002	3883547	3893546	window_0137	.	10000	93.684600	1.000000	93.684600	1.000000
Pcub-SC1982_002	3893547	3903546	window_0138	.	10000	78.481600	1.000000	78.481600	1.000000
Pcub-SC1982_002	3903547	3913546	window_0139	.	10000	520.419700	1.000000	437.980700	1.000000
Pcub-SC1982_002	3913547	3923546	window_0140	.	10000	76.645900	1.000000	64.645300	1.000000
Pcub-SC1982_002	3923547	3933546	window_0141	.	10000	106.987300	1.000000	106.987300	1.000000
Pcub-SC1982_002	3933547	3943546	window_0142	.	10000	88.244500	1.000000	88.244500	1.000000
Pcub-SC1982_002	3943547	3953546	window_0143	.	10000	199.874200	1.000000	199.413300	1.000000
Pcub-SC1982_002	3953547	3963546	window_0144	.	10000	94.949000	1.000000	90.340000	1.000000
Pcub-SC1982_002	3963547	3973546	window_0145	.	10000	70.830200	1.000000	70.807700	1.000000
Pcub-SC1982_002	3973547	3983546	window_0146	.	10000	92.668400	1.000000	92.668400	1.000000
Pcub-SC1982_002	3983547	3993546	window_0147	.	10000	96.244300	1.000000	96.244300	1.000000
Pcub-SC1982_002	3993547	4003546	window_0148	.	10000	105.194000	1.000000	105.194000	1.000000
Pcub-SC1982_002	4003547	4013546	window_0149	.	10000	87.283300	1.000000	87.283300	1.000000
Pcub-SC1982_002	4013547	4023546	window_0150	.	10000	101.580200	1.000000	101.580200	1.000000
Pcub-SC1982_002	4023547	4033546	window_0151	.	10000	89.027600	1.000000	89.027600	1.000000
Pcub-SC1982_002	4033547	4043546	window_0152	.	10000	111.381600	1.000000	111.381600	1.000000
Pcub-SC1982_002	4043547	4053546	window_0153	.	10000	93.976200	1.000000	93.976200	1.000000
Pcub-SC1982_002	4053547	4063546	window_0154	.	10000	98.453900	1.000000	86.389400	1.000000
Pcub-SC1982_002	4063547	4073546	window_0155	.	10000	199.381600	1.000000	60.377200	1.000000
Pcub-SC1982_002	4073547	4083546	window_0156	.	10000	94.678700	1.000000	51.687800	1.000000
Pcub-SC1982_002	4083547	4093546	window_0157	.	10000	111.161000	1.000000	50.953300	1.000000
Pcub-SC1982_002	4093547	4103546	window_0158	.	10000	94.970700	1.000000	49.349000	1.000000
Pcub-SC1982_002	4103547	4113546	window_0159	.	10000	51.401600	1.000000	47.721000	1.000000
Pcub-SC1982_002	4113547	4123546	window_0160	.	10000	88.035700	1.000000	40.050200	1.000000
Pcub-SC1982_002	4123547	4133546	window_0161	.	10000	61.901600	1.000000	36.315500	1.000000
Pcub-SC1982_002	4133547	4143546	window_0162	.	10000	1649.048700	1.000000	659.028000	1.000000
Pcub-SC1982_002	4143547	4153546	window_0163	.	10000	874.175400	1.000000	311.393200	1.000000
Pcub-SC1982_002	4153547	4163546	window_0164	.	10000	205.402600	1.000000	8.257100	1.000000
Pcub-SC1982_002	4163547	4173546	window_0165	.	10000	1527.030600	1.000000	359.035800	1.000000
Pcub-SC1982_002	4173547	4183546	window_0166	.	10000	626.963500	1.000000	224.300900	1.000000
Pcub-SC1982_002	4183547	4193546	window_0167	.	10000	426.626300	1.000000	110.204100	1.000000
Pcub-SC1982_002	4193547	4203546	window_0168	.	10000	1392.701500	1.000000	795.348800	1.000000
Pcub-SC1982_002	4203547	4213546	window_0169	.	10000	608.542100	1.000000	250.733000	1.000000
Pcub-SC1982_002	4213547	4223546	window_0170	.	10000	375.118200	1.000000	120.677900	1.000000
Pcub-SC1982_002	4223547	4233546	window_0171	.	10000	77.839000	1.000000	77.795500	1.000000
Pcub-SC1982_002	4233547	4243546	window_0172	.	10000	71.638000	1.000000	71.638000	1.000000
Pcub-SC1982_002	4243547	4253546	window_0173	.	10000	92.916800	1.000000	92.916800	1.000000
Pcub-SC1982_002	4253547	4263546	window_0174	.	10000	91.834600	1.000000	91.834600	1.000000
Pcub-SC1982_002	4263547	4273546	window_0175	.	10000	68.744300	1.000000	68.744300	1.000000
Pcub-SC1982_002	4273547	4283546	window_0176	.	10000	95.136400	1.000000	95.136400	1.000000
Pcub-SC1982_002	4283547	4293546	window_0177	.	10000	77.042000	1.000000	77.042000	1.000000
Pcub-SC1982_002	4293547	4303546	window_0178	.	10000	79.908800	1.000000	79.908800	1.000000
Pcub-SC1982_002	4303547	4313546	window_0179	.	10000	89.074100	1.000000	89.074100	1.000000
Pcub-SC1982_002	4313547	4323546	window_0180	.	10000	102.053800	1.000000	102.053800	1.000000
Pcub-SC1982_002	4323547	4333546	window_0181	.	10000	80.524300	1.000000	79.039800	1.000000
Pcub-SC1982_002	4333547	4343546	window_0182	.	10000	103.212100	1.000000	68.118200	1.000000
Pcub-SC1982_002	4343547	4353546	window_0183	.	10000	94.412000	1.000000	78.444800	1.000000
Pcub-SC1982_002	4353547	4363546	window_0184	.	10000	106.415100	1.000000	84.440600	1.000000
Pcub-SC1982_002	4363547	4373546	window_0185	.	10000	16784.796200	1.000000	6857.645700	1.000000
Pcub-SC1982_002	4373547	4383546	window_0186	.	10000	4558.723800	1.000000	2053.712900	1.000000
Pcub-SC1982_002	4383547	4393546	window_0187	.	10000	2163.038000	1.000000	376.167600	1.000000
Pcub-SC1982_002	4393547	4403546	window_0188	.	10000	107.986100	1.000000	107.986100	1.000000
Pcub-SC1982_002	4403547	4413546	window_0189	.	10000	93.332000	1.000000	93.332000	1.000000
Pcub-SC1982_002	4413547	4423546	window_0190	.	10000	81.069700	1.000000	81.069700	1.000000
Pcub-SC1982_002	4423547	4433546	window_0191	.	10000	84.023100	1.000000	84.023100	1.000000
Pcub-SC1982_002	4433547	4443546	window_0192	.	10000	92.323000	1.000000	92.323000	1.000000
Pcub-SC1982_002	4443547	4453546	window_0193	.	10000	106.958300	1.000000	106.958300	1.000000
Pcub-SC1982_002	4453547	4463546	window_0194	.	10000	72.101000	1.000000	72.101000	1.000000
Pcub-SC1982_002	4463547	4473546	window_0195	.	10000	84.602400	1.000000	84.602400	1.000000
Pcub-SC1982_002	4473547	4483546	window_0196	.	10000	90.839400	1.000000	90.839400	1.000000
Pcub-SC1982_002	4483547	4493546	window_0197	.	10000	156.833100	1.000000	70.885200	1.000000
Pcub-SC1982_002	4493547	4503546	window_0198	.	10000	110.676800	1.000000	109.964700	1.000000
Pcub-SC1982_002	4503547	4513546	window_0199	.	10000	130.798300	1.000000	128.907600	1.000000
Pcub-SC1982_002	4513547	4523546	window_0200	.	10000	288.831700	1.000000	288.831700	1.000000
Pcub-SC1982_002	4523547	4533546	window_0201	.	10000	14.564500	0.161900	14.564500	0.161900
Pcub-SC1982_002	4533547	4543546	window_0202	.	10000	96.987000	1.000000	96.987000	1.000000
Pcub-SC1982_002	4543547	4553546	window_0203	.	10000	121.854700	1.000000	116.731800	1.000000
Pcub-SC1982_002	4553547	4563546	window_0204	.	10000	215.445200	1.000000	126.446100	1.000000
Pcub-SC1982_002	4563547	4573546	window_0205	.	10000	140.392700	1.000000	127.865000	1.000000
Pcub-SC1982_002	4573547	4583546	window_0206	.	10000	126.522700	1.000000	40.367000	1.000000
Pcub-SC1982_002	4583547	4593546	window_0207	.	10000	133.723100	1.000000	7.899500	1.000000
Pcub-SC1982_002	4593547	4603546	window_0208	.	10000	135.125000	1.000000	86.393000	1.000000
Pcub-SC1982_002	4603547	4613546	window_0209	.	10000	153.951800	1.000000	115.841200	1.000000
Pcub-SC1982_002	4613547	4623546	window_0210	.	10000	893.982000	1.000000	519.923500	1.000000
Pcub-SC1982_002	4623547	4633546	window_0211	.	10000	583.193800	1.000000	488.166700	1.000000
Pcub-SC1982_002	4633547	4643546	window_0212	.	10000	108.623000	1.000000	108.305900	1.000000
Pcub-SC1982_002	4643547	4653546	window_0213	.	10000	71.157300	1.000000	57.294100	1.000000
Pcub-SC1982_002	4653547	4663546	window_0214	.	10000	74.972400	1.000000	74.965300	1.000000
Pcub-SC1982_002	4663547	4673546	window_0215	.	10000	98.576200	1.000000	98.576200	1.000000
Pcub-SC1982_002	4673547	4683546	window_0216	.	10000	96.792400	1.000000	96.792400	1.000000
Pcub-SC1982_002	4683547	4693546	window_0217	.	10000	96.697400	1.000000	96.697400	1.000000
Pcub-SC1982_002	4693547	4703546	window_0218	.	10000	106.527500	1.000000	105.684600	1.000000
Pcub-SC1982_002	4703547	4713546	window_0219	.	10000	100.159200	1.000000	72.064700	1.000000
Pcub-SC1982_002	4713547	4723546	window_0220	.	10000	107.584600	1.000000	104.703600	1.000000
Pcub-SC1982_002	4723547	4733546	window_0221	.	10000	115.363100	1.000000	115.363100	1.000000
Pcub-SC1982_002	4733547	4743546	window_0222	.	10000	90.678300	1.000000	90.678300	1.000000
Pcub-SC1982_002	4743547	4753546	window_0223	.	10000	66.633300	1.000000	66.633300	1.000000
Pcub-SC1982_002	4753547	4763546	window_0224	.	10000	84.210500	1.000000	83.771000	1.000000
Pcub-SC1982_002	4763547	4773546	window_0225	.	10000	86.426200	1.000000	86.148600	1.000000
Pcub-SC1982_002	4773547	4783546	window_0226	.	10000	114.207000	1.000000	113.529500	1.000000
Pcub-SC1982_002	4783547	4793546	window_0227	.	10000	89.360400	1.000000	87.687400	1.000000
Pcub-SC1982_002	4793547	4803546	window_0228	.	10000	95.974100	1.000000	95.974100	1.000000
Pcub-SC1982_002	4803547	4813546	window_0229	.	10000	1157.010400	1.000000	1109.236400	1.000000
Pcub-SC1982_002	4813547	4823546	window_0230	.	10000	1432.558600	1.000000	1286.873400	1.000000
Pcub-SC1982_002	4823547	4833546	window_0231	.	10000	131.217800	1.000000	122.332000	1.000000
Pcub-SC1982_002	4833547	4835754	window_0232	.	2208	263.252264	1.000000	132.202446	1.000000
