#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name	sample
ctg4438	1	5327	5327	EXCLUDE	prok:a-proteobacteria	100	Rhizobium sp.	Quesada_SQIIe_MSU1
ctg4271	1	5909	5909	EXCLUDE	prok:b-proteobacteria	75	Variovorax sp.	Quesada_SQIIe_MSU1
ctg4813	1	9949	9949	EXCLUDE	prok:a-proteobacteria	98	Ancylobacter sonchi	Quesada_SQIIe_MSU1
ctg4991	1	11128	11128	EXCLUDE	prok:b-proteobacteria	100	Acidovorax radicis	Quesada_SQIIe_MSU1
ctg8619	1	637246	637246	EXCLUDE	prok:a-proteobacteria	98	Shinella lacus	Quesada_SQIIe_MSU1
ctg4839	1	8192	8192	EXCLUDE	prok:a-proteobacteria	83	Chelatococcus caeni	Quesada_SQIIe_MSU1
ctg4875	1	10772	10772	EXCLUDE	prok:a-proteobacteria	100	Devosia ginsengisoli	Quesada_SQIIe_MSU1
ctg4318	1	8470	8470	EXCLUDE	prok:high GC Gram+	100	Nocardioides rubriscoriae	Quesada_SQIIe_MSU1
ctg4404	1	6668	6668	EXCLUDE	prok:CFB group bacteria	100	Nubsella zeaxanthinifaciens	Quesada_SQIIe_MSU1
ctg8422	1	179990	179990	EXCLUDE	prok:a-proteobacteria	100	Shinella granuli	Quesada_SQIIe_MSU1
ctg8433	1	199891	199891	EXCLUDE	prok:a-proteobacteria	94	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg8618	1	621580	621580	EXCLUDE	prok:a-proteobacteria	95	Devosia elaeis	Quesada_SQIIe_MSU1
ctg4409	1	6616	6616	EXCLUDE	prok:a-proteobacteria	95	Ancylobacter oerskovii	Quesada_SQIIe_MSU1
ctg8429	1	203582	203582	EXCLUDE	prok:a-proteobacteria	100	Shinella lacus	Quesada_SQIIe_MSU1
ctg4310	1	7655	7655	EXCLUDE	prok:a-proteobacteria	93	Sphingopyxis solisilvae	Quesada_SQIIe_MSU1
ctg5002	1	8327	8327	EXCLUDE	prok:a-proteobacteria	83	Tardiphaga robiniae	Quesada_SQIIe_MSU1
ctg8426	1	199066	199066	EXCLUDE	prok:g-proteobacteria	98	Stenotrophomonas maltophilia	Quesada_SQIIe_MSU1
ctg5032	1	8164	8164	EXCLUDE	prok:high GC Gram+	69	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg5271	1	9747	9747	EXCLUDE	prok:a-proteobacteria	92	Bosea robiniae	Quesada_SQIIe_MSU1
ctg4852	1	8341	8341	EXCLUDE	prok:b-proteobacteria	100	Roseateles aquatilis	Quesada_SQIIe_MSU1
ctg5198	1	12041	12041	EXCLUDE	prok:high GC Gram+	65	Microbacterium sediminis	Quesada_SQIIe_MSU1
ctg4867	1	8605	8605	EXCLUDE	prok:high GC Gram+	100	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg4273	1	6038	6038	EXCLUDE	prok:a-proteobacteria	80	Neorhizobium sp. UBA3142	Quesada_SQIIe_MSU1
ctg5192	1	9921	9921	EXCLUDE	prok:a-proteobacteria	80	Roseomonas deserti	Quesada_SQIIe_MSU1
ctg6498	1	18064	18064	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium fabacearum	Quesada_SQIIe_MSU1
ctg8161	1	85543	85543	EXCLUDE	prok:high GC Gram+	97	Microbacterium oleivorans	Quesada_SQIIe_MSU1
ctg8419	1	191753	191753	EXCLUDE	prok:a-proteobacteria	98	Shinella lacus	Quesada_SQIIe_MSU1
ctg8298	1	126806	126806	EXCLUDE	prok:g-proteobacteria	96	Stenotrophomonas maltophilia	Quesada_SQIIe_MSU1
ctg4845	1	7052	7052	EXCLUDE	prok:g-proteobacteria	100	Pseudomonas entomophila	Quesada_SQIIe_MSU1
ctg6518	1	16820	16820	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium cavarae	Quesada_SQIIe_MSU1
ctg4440	1	8748	8748	EXCLUDE	prok:high GC Gram+	100	Nocardioides dongxiaopingii	Quesada_SQIIe_MSU1
ctg5194	1	10223	10223	EXCLUDE	prok:a-proteobacteria	89	Devosia sp. 66-14	Quesada_SQIIe_MSU1
ctg8416	1	178204	178204	EXCLUDE	prok:a-proteobacteria	95	Brevundimonas lenta	Quesada_SQIIe_MSU1
ctg4848	1	7424	7424	EXCLUDE	prok:a-proteobacteria	100	Sphingobium amiense	Quesada_SQIIe_MSU1
ctg4834	1	10677	10677	EXCLUDE	prok:a-proteobacteria	100	Sphingopyxis terrae	Quesada_SQIIe_MSU1
ctg5071	1	8719	8719	EXCLUDE	prok:a-proteobacteria	100	Shinella lacus	Quesada_SQIIe_MSU1
ctg4442	1	8359	8359	REVIEW	prok:a-proteobacteria	12	Devosia sp. 66-14	Quesada_SQIIe_MSU1
ctg6511	1	14750	14750	EXCLUDE	prok:high GC Gram+	100	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg4434	1	8364	8364	EXCLUDE	prok:a-proteobacteria	100	Sphingobium yanoikuyae	Quesada_SQIIe_MSU1
ctg5030	1	9030	9030	EXCLUDE	prok:high GC Gram+	100	Nocardioides rubriscoriae	Quesada_SQIIe_MSU1
ctg4328	1	6929	6929	EXCLUDE	prok:a-proteobacteria	90	Devosia sp. 66-14	Quesada_SQIIe_MSU1
ctg4262	1	7723	7723	EXCLUDE	prok:CFB group bacteria	85	Niabella yanshanensis	Quesada_SQIIe_MSU1
ctg4264	1	6234	6234	EXCLUDE	prok:b-proteobacteria	90	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg8717	1	6010616	6010616	EXCLUDE	prok:CFB group bacteria	98	Sphingobacterium sp. UBA6711	Quesada_SQIIe_MSU1
ctg6508	1	19281	19281	EXCLUDE	prok:a-proteobacteria	98	Devosia insulae	Quesada_SQIIe_MSU1
ctg6517	1	18134	18134	EXCLUDE	prok:b-proteobacteria	87	Methylophilus sp. UBA6697	Quesada_SQIIe_MSU1
ctg4425	1	8194	8194	EXCLUDE	prok:b-proteobacteria	98	Methylophilus sp. UBA6697	Quesada_SQIIe_MSU1
ctg3897	1	5551	5551	EXCLUDE	prok:a-proteobacteria	100	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg5296	1	11377	11377	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium cavarae	Quesada_SQIIe_MSU1
ctg3480	1	8080	8080	EXCLUDE	prok:b-proteobacteria	82	Pigmentiphaga kullae	Quesada_SQIIe_MSU1
ctg8122	1	82001	82001	EXCLUDE	prok:b-proteobacteria	100	Pseudorhodoferax soli	Quesada_SQIIe_MSU1
ctg3954	1	6031	6031	EXCLUDE	prok:a-proteobacteria	100	Rhizobium populisoli	Quesada_SQIIe_MSU1
ctg8347	1	145754	145754	EXCLUDE	prok:b-proteobacteria	87	Variovorax guangxiensis	Quesada_SQIIe_MSU1
ctg3541	1	6358	6358	EXCLUDE	prok:b-proteobacteria	100	Delftia acidovorans	Quesada_SQIIe_MSU1
ctg8291	1	110848	110848	EXCLUDE	prok:a-proteobacteria	53	Bosea robiniae	Quesada_SQIIe_MSU1
ctg8571	1	413188	413188	EXCLUDE	prok:a-proteobacteria	100	Shinella lacus	Quesada_SQIIe_MSU1
ctg8065	1	62787	62787	EXCLUDE	prok:a-proteobacteria	97	Devosia riboflavina	Quesada_SQIIe_MSU1
ctg8345	1	128913	128913	EXCLUDE	prok:g-proteobacteria	100	Stenotrophomonas maltophilia	Quesada_SQIIe_MSU1
ctg3566	1	5065	5065	EXCLUDE	prok:a-proteobacteria	96	Rhizobium populisoli	Quesada_SQIIe_MSU1
ctg8114	1	78365	78365	EXCLUDE	prok:a-proteobacteria	100	Shinella lacus	Quesada_SQIIe_MSU1
ctg8086	1	74533	74533	EXCLUDE	prok:a-proteobacteria	96	Caulobacter segnis	Quesada_SQIIe_MSU1
ctg8289	1	119466	119466	EXCLUDE	prok:a-proteobacteria	97	Devosia soli	Quesada_SQIIe_MSU1
ctg2874	1	5477	5477	EXCLUDE	prok:a-proteobacteria	63	Pararhizobium arenae	Quesada_SQIIe_MSU1
ctg3691	1	6103	6103	EXCLUDE	prok:a-proteobacteria	100	Angulomicrobium tetraedrale	Quesada_SQIIe_MSU1
ctg8297	1	121549	121549	EXCLUDE	prok:a-proteobacteria	86	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg8486	1	253791	253791	EXCLUDE	prok:b-proteobacteria	86	Variovorax boronicumulans	Quesada_SQIIe_MSU1
ctg4047	1	6557	6557	EXCLUDE	prok:high GC Gram+	100	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg3509	1	5790	5790	EXCLUDE	prok:a-proteobacteria	93	Starkeya novella	Quesada_SQIIe_MSU1
ctg3965	1	5472	5472	EXCLUDE	prok:g-proteobacteria	25	Hahella ganghwensis	Quesada_SQIIe_MSU1
ctg8286	1	109824	109824	EXCLUDE	prok:g-proteobacteria	98	Stenotrophomonas maltophilia	Quesada_SQIIe_MSU1
ctg4397	1	5460	5460	EXCLUDE	prok:g-proteobacteria	95	Pseudomonas japonica	Quesada_SQIIe_MSU1
ctg2893	1	6170	6170	EXCLUDE	prok:a-proteobacteria	60	Sphingomonas psychrotolerans	Quesada_SQIIe_MSU1
ctg8343	1	134747	134747	EXCLUDE	prok:b-proteobacteria	91	Xenophilus azovorans	Quesada_SQIIe_MSU1
ctg8108	1	69232	69232	EXCLUDE	prok:b-proteobacteria	100	Pseudorhodoferax aquiterrae	Quesada_SQIIe_MSU1
ctg5317	1	9927	9927	EXCLUDE	prok:high GC Gram+	76	Nocardioides rubriscoriae	Quesada_SQIIe_MSU1
ctg8126	1	72954	72954	EXCLUDE	prok:a-proteobacteria	96	Rhodopseudomonas boonkerdii	Quesada_SQIIe_MSU1
ctg2931	1	5831	5831	EXCLUDE	prok:b-proteobacteria	60	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg3563	1	7304	7304	EXCLUDE	prok:b-proteobacteria	100	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg4098	1	6183	6183	EXCLUDE	prok:a-proteobacteria	98	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg3357	1	5171	5171	EXCLUDE	prok:high GC Gram+	100	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg8480	1	265952	265952	EXCLUDE	prok:a-proteobacteria	94	Caulobacter radicis	Quesada_SQIIe_MSU1
ctg5287	1	14600	14600	EXCLUDE	prok:CFB group bacteria	81	Niabella drilacis	Quesada_SQIIe_MSU1
ctg8283	1	120018	120018	EXCLUDE	prok:a-proteobacteria	68	Devosia soli	Quesada_SQIIe_MSU1
ctg8277	1	101794	101794	EXCLUDE	prok:high GC Gram+	52	Starkeya novella	Quesada_SQIIe_MSU1
ctg8104	1	76153	76153	EXCLUDE	prok:a-proteobacteria	97	Bosea robiniae	Quesada_SQIIe_MSU1
ctg8099	1	74814	74814	EXCLUDE	prok:g-proteobacteria	90	Pseudomonas mosselii	Quesada_SQIIe_MSU1
ctg3885	1	6676	6676	EXCLUDE	prok:a-proteobacteria	100	Pelagibacterium sp. SCN 64-44	Quesada_SQIIe_MSU1
ctg8566	1	405513	405513	EXCLUDE	prok:a-proteobacteria	90	Brevundimonas lenta	Quesada_SQIIe_MSU1
ctg8279	1	111490	111490	EXCLUDE	prok:a-proteobacteria	93	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg4056	1	7225	7225	EXCLUDE	prok:a-proteobacteria	100	Rhizobium album	Quesada_SQIIe_MSU1
ctg4065	1	7998	7998	EXCLUDE	prok:a-proteobacteria	100	Shinella lacus	Quesada_SQIIe_MSU1
ctg5333	1	11917	11917	EXCLUDE	prok:high GC Gram+	92	Nocardioides dongxiaopingii	Quesada_SQIIe_MSU1
ctg4096	1	5677	5677	EXCLUDE	prok:high GC Gram+	100	Microbacterium foliorum	Quesada_SQIIe_MSU1
ctg3558	1	5163	5163	EXCLUDE	prok:a-proteobacteria	100	Mesorhizobium norvegicum	Quesada_SQIIe_MSU1
ctg5337	1	11252	11252	EXCLUDE	prok:a-proteobacteria	90	Ensifer glycinis	Quesada_SQIIe_MSU1
ctg3860	1	6102	6102	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium fabrum	Quesada_SQIIe_MSU1
ctg8050	1	75570	75570	EXCLUDE	prok:b-proteobacteria	100	Pseudorhodoferax aquiterrae	Quesada_SQIIe_MSU1
ctg8474	1	258792	258792	EXCLUDE	prok:a-proteobacteria	98	Caulobacter radicis	Quesada_SQIIe_MSU1
ctg2923	1	5402	5402	EXCLUDE	prok:a-proteobacteria	100	Rhizobium rhizophilum	Quesada_SQIIe_MSU1
ctg2164	1	5336	5336	EXCLUDE	prok:high GC Gram+	97	Yimella lutea	Quesada_SQIIe_MSU1
ctg3889	1	5591	5591	EXCLUDE	prok:high GC Gram+	100	Microbacterium hydrothermale	Quesada_SQIIe_MSU1
ctg3974	1	8108	8108	EXCLUDE	prok:b-proteobacteria	85	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg3856	1	7975	7975	EXCLUDE	prok:a-proteobacteria	21	Altericroceibacterium endophyticum	Quesada_SQIIe_MSU1
ctg8484	1	264573	264573	EXCLUDE	prok:a-proteobacteria	98	Shinella granuli	Quesada_SQIIe_MSU1
ctg2934	1	5532	5532	EXCLUDE	prok:b-proteobacteria	100	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg8329	1	113717	113717	EXCLUDE	prok:a-proteobacteria	100	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg4043	1	6926	6926	EXCLUDE	prok:CFB group bacteria	95	Taibaiella helva	Quesada_SQIIe_MSU1
ctg3929	1	5317	5317	EXCLUDE	prok:high GC Gram+	100	Microbacterium oleivorans	Quesada_SQIIe_MSU1
ctg5252	1	10041	10041	EXCLUDE	prok:g-proteobacteria	100	Pseudomonas xantholysinigenes	Quesada_SQIIe_MSU1
ctg4394	1	6190	6190	EXCLUDE	prok:a-proteobacteria	100	Bosea robiniae	Quesada_SQIIe_MSU1
ctg3951	1	5315	5315	EXCLUDE	prok:a-proteobacteria	100	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg3548	1	7883	7883	EXCLUDE	prok:a-proteobacteria	100	Ancylobacter sonchi	Quesada_SQIIe_MSU1
ctg5323	1	10329	10329	EXCLUDE	prok:b-proteobacteria	85	Comamonas koreensis	Quesada_SQIIe_MSU1
ctg8057	1	77418	77418	EXCLUDE	prok:a-proteobacteria	92	Shinella lacus	Quesada_SQIIe_MSU1
ctg8287	1	115818	115818	EXCLUDE	prok:high GC Gram+	86	Microbacterium saperdae	Quesada_SQIIe_MSU1
ctg8346	1	143651	143651	EXCLUDE	prok:b-proteobacteria	95	Acidovorax wautersii	Quesada_SQIIe_MSU1
ctg5261	1	14509	14509	EXCLUDE	prok:a-proteobacteria	51	Tardiphaga robiniae	Quesada_SQIIe_MSU1
ctg8285	1	129832	129832	EXCLUDE	prok:CFB group bacteria	98	Sphingobacterium corticibacter	Quesada_SQIIe_MSU1
ctg8095	1	73837	73837	EXCLUDE	prok:a-proteobacteria	80	Caulobacter hibisci	Quesada_SQIIe_MSU1
ctg8112	1	73516	73516	EXCLUDE	prok:a-proteobacteria	91	Devosia sp. 66-14	Quesada_SQIIe_MSU1
ctg8709	1	4449223	4449223	EXCLUDE	prok:CFB group bacteria	88	Siphonobacter curvatus	Quesada_SQIIe_MSU1
ctg3948	1	7729	7729	EXCLUDE	prok:b-proteobacteria	100	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg4101	1	7497	7497	EXCLUDE	prok:a-proteobacteria	100	Shinella granuli	Quesada_SQIIe_MSU1
ctg8309	1	115868	115868	EXCLUDE	prok:b-proteobacteria	85	Comamonas koreensis	Quesada_SQIIe_MSU1
ctg5314	1	10240	10240	EXCLUDE	prok:b-proteobacteria	100	Pseudorhodoferax aquiterrae	Quesada_SQIIe_MSU1
ctg8091	1	69899	69899	EXCLUDE	prok:b-proteobacteria	86	Pseudorhodoferax aquiterrae	Quesada_SQIIe_MSU1
ctg5255	1	16263	16263	EXCLUDE	prok:CFB group bacteria	100	Nubsella zeaxanthinifaciens	Quesada_SQIIe_MSU1
ctg3959	1	5747	5747	EXCLUDE	prok:a-proteobacteria	100	Rhodopseudomonas boonkerdii	Quesada_SQIIe_MSU1
ctg3909	1	8000	8000	EXCLUDE	prok:b-proteobacteria	100	Mitsuaria chitosanitabida	Quesada_SQIIe_MSU1
ctg3989	1	5777	5777	EXCLUDE	prok:a-proteobacteria	98	Ancylobacter sonchi	Quesada_SQIIe_MSU1
ctg3470	1	5603	5603	EXCLUDE	prok:high GC Gram+	100	Microbacterium oleivorans	Quesada_SQIIe_MSU1
ctg3924	1	5544	5544	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium cavarae	Quesada_SQIIe_MSU1
ctg8134	1	66388	66388	EXCLUDE	prok:high GC Gram+	100	Microbacterium algeriense	Quesada_SQIIe_MSU1
ctg8128	1	83143	83143	EXCLUDE	prok:a-proteobacteria	91	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg3865	1	7097	7097	EXCLUDE	prok:a-proteobacteria	98	Mesorhizobium neociceri	Quesada_SQIIe_MSU1
ctg4059	1	8479	8479	EXCLUDE	prok:a-proteobacteria	100	Kaistia defluvii	Quesada_SQIIe_MSU1
ctg3503	1	6404	6404	EXCLUDE	prok:a-proteobacteria	94	Aureimonas pseudogalii	Quesada_SQIIe_MSU1
ctg8701	1	2987893	2987893	EXCLUDE	prok:a-proteobacteria	97	Rhizobium oryzihabitans	Quesada_SQIIe_MSU1
ctg8334	1	122832	122832	EXCLUDE	prok:a-proteobacteria	94	Bosea robiniae	Quesada_SQIIe_MSU1
ctg3353	1	5775	5775	EXCLUDE	prok:a-proteobacteria	100	Devosia sp. 66-14	Quesada_SQIIe_MSU1
ctg5308	1	9714	9714	EXCLUDE	prok:high GC Gram+	100	Microbacterium oleivorans	Quesada_SQIIe_MSU1
ctg5249	1	10072	10072	EXCLUDE	prok:g-proteobacteria	100	Pseudoxanthomonas jiangsuensis	Quesada_SQIIe_MSU1
ctg5311	1	11324	11324	EXCLUDE	prok:a-proteobacteria	42	Devosia crocina	Quesada_SQIIe_MSU1
ctg8300	1	123171	123171	EXCLUDE	prok:b-proteobacteria	91	Xenophilus azovorans	Quesada_SQIIe_MSU1
ctg8336	1	126663	126663	EXCLUDE	prok:a-proteobacteria	94	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg8295	1	118769	118769	EXCLUDE	prok:a-proteobacteria	100	Shinella lacus	Quesada_SQIIe_MSU1
ctg8078	1	79342	79342	EXCLUDE	prok:a-proteobacteria	95	Devosia elaeis	Quesada_SQIIe_MSU1
ctg3867	1	6564	6564	EXCLUDE	prok:a-proteobacteria	100	Shinella lacus	Quesada_SQIIe_MSU1
ctg3869	1	5801	5801	EXCLUDE	prok:high GC Gram+	100	Microbacterium enclense	Quesada_SQIIe_MSU1
ctg3998	1	9183	9183	EXCLUDE	prok:b-proteobacteria	100	Delftia acidovorans	Quesada_SQIIe_MSU1
ctg8068	1	68541	68541	EXCLUDE	prok:high GC Gram+	90	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg3983	1	5010	5010	EXCLUDE	prok:high GC Gram+	100	Nocardioides litoris	Quesada_SQIIe_MSU1
ctg8070	1	82220	82220	EXCLUDE	prok:a-proteobacteria	97	Caulobacter radicis	Quesada_SQIIe_MSU1
ctg5301	1	12728	12728	EXCLUDE	prok:a-proteobacteria	94	Devosia insulae	Quesada_SQIIe_MSU1
ctg8325	1	126028	126028	EXCLUDE	prok:a-proteobacteria	88	Devosia soli	Quesada_SQIIe_MSU1
ctg8614	1	606453	606453	EXCLUDE	prok:b-proteobacteria	94	Comamonas koreensis	Quesada_SQIIe_MSU1
ctg5299	1	12575	12575	EXCLUDE	prok:b-proteobacteria	100	Pseudorhodoferax aquiterrae	Quesada_SQIIe_MSU1
ctg4395	1	12169	12169	EXCLUDE	prok:a-proteobacteria	100	Devosia salina	Quesada_SQIIe_MSU1
ctg8490	1	256420	256420	EXCLUDE	prok:high GC Gram+	92	Microbacterium saperdae	Quesada_SQIIe_MSU1
ctg3522	1	5238	5238	EXCLUDE	prok:high GC Gram+	100	Microbacterium sp. UBA3486	Quesada_SQIIe_MSU1
ctg2822	1	5317	5317	REVIEW	prok:a-proteobacteria	19	Neorhizobium xiangyangii	Quesada_SQIIe_MSU1
ctg8273	1	106003	106003	EXCLUDE	prok:b-proteobacteria	88	Variovorax gossypii	Quesada_SQIIe_MSU1
ctg5319	1	12156	12156	EXCLUDE	prok:g-proteobacteria	100	Stenotrophomonas maltophilia	Quesada_SQIIe_MSU1
ctg8303	1	133089	133089	EXCLUDE	prok:b-proteobacteria	98	Xenophilus azovorans	Quesada_SQIIe_MSU1
ctg3917	1	5686	5686	EXCLUDE	prok:g-proteobacteria	77	Pseudomonas tohonis	Quesada_SQIIe_MSU1
ctg2937	1	5402	5402	EXCLUDE	prok:b-proteobacteria	100	Acidovorax sp. SCN 65-108	Quesada_SQIIe_MSU1
ctg3686	1	5958	5958	EXCLUDE	prok:a-proteobacteria	100	Bosea robiniae	Quesada_SQIIe_MSU1
ctg3573	1	6526	6526	EXCLUDE	prok:b-proteobacteria	100	Mitsuaria chitinivorans	Quesada_SQIIe_MSU1
ctg7446	1	28653	28653	EXCLUDE	prok:high GC Gram+	93	Microbacterium oleivorans	Quesada_SQIIe_MSU1
ctg4461	1	7532	7532	EXCLUDE	prok:a-proteobacteria	100	Rhizobium terricola	Quesada_SQIIe_MSU1
ctg6899	1	24647	24647	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium fabacearum	Quesada_SQIIe_MSU1
ctg6217	1	16230	16230	EXCLUDE	prok:a-proteobacteria	46	Bradyrhizobium mercantei	Quesada_SQIIe_MSU1
ctg6908	1	29128	29128	EXCLUDE	prok:b-proteobacteria	100	Pseudorhodoferax soli	Quesada_SQIIe_MSU1
ctg6161	1	14080	14080	EXCLUDE	prok:high GC Gram+	100	Microbacterium foliorum	Quesada_SQIIe_MSU1
ctg4490	1	8232	8232	EXCLUDE	prok:b-proteobacteria	88	Pigmentiphaga kullae	Quesada_SQIIe_MSU1
ctg6847	1	19543	19543	EXCLUDE	prok:b-proteobacteria	92	Pseudorhodoferax soli	Quesada_SQIIe_MSU1
ctg5045	1	11284	11284	EXCLUDE	prok:high GC Gram+	93	Pimelobacter simplex	Quesada_SQIIe_MSU1
ctg4539	1	8730	8730	EXCLUDE	prok:b-proteobacteria	96	Acidovorax valerianellae	Quesada_SQIIe_MSU1
ctg8354	1	139299	139299	EXCLUDE	prok:a-proteobacteria	88	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg6254	1	16263	16263	EXCLUDE	prok:a-proteobacteria	98	Devosia ginsengisoli	Quesada_SQIIe_MSU1
ctg4967	1	10408	10408	EXCLUDE	prok:a-proteobacteria	77	Rhizobium populisoli	Quesada_SQIIe_MSU1
ctg2767	1	5983	5983	EXCLUDE	prok:a-proteobacteria	100	Mesorhizobium huakuii	Quesada_SQIIe_MSU1
ctg3263	1	6876	6876	EXCLUDE	prok:g-proteobacteria	88	Stutzerimonas kirkiae	Quesada_SQIIe_MSU1
ctg4450	1	9700	9700	EXCLUDE	prok:CFB group bacteria	100	Flavobacterium album	Quesada_SQIIe_MSU1
ctg7797	1	56470	56470	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium fabacearum	Quesada_SQIIe_MSU1
ctg3623	1	7927	7927	EXCLUDE	prok:a-proteobacteria	100	Novosphingobium guangzhouense	Quesada_SQIIe_MSU1
ctg7769	1	54690	54690	EXCLUDE	prok:a-proteobacteria	100	Agrobacterium fabacearum	Quesada_SQIIe_MSU1
ctg8229	1	104905	104905	EXCLUDE	prok:CFB group bacteria	69	Niastella populi	Quesada_SQIIe_MSU1
ctg6445	1	22770	22770	EXCLUDE	prok:a-proteobacteria	100	Novosphingobium resinovorum	Quesada_SQIIe_MSU1
ctg4286	1	9481	9481	EXCLUDE	prok:CFB group bacteria	100	Pedobacter suwonensis	Quesada_SQIIe_MSU1
ctg8386	1	151623	151623	EXCLUDE	prok:a-proteobacteria	56	Caulobacter radicis	Quesada_SQIIe_MSU1
