isolate	read_id	category	gc_pct	cov_median
MSU1	m64474e_240201_042250/167052330/ccs	Bacteroidota	48.42	101.0
MSU1	m64474e_240201_042250/24576551/ccs	Bacteroidota	41.42	212.0
MSU1	m64474e_240201_042250/63047887/ccs	Bacteroidota	45.83	236.0
MSU1	m64474e_240201_042250/99091161/ccs	Bacteroidota	46.26	261.0
MSU1	m64474e_240201_042250/75368458/ccs	Bacteroidota	33.12	32.0
MSU1	m64474e_240201_042250/38208635/ccs	Bacteroidota	45.38	284.0
MSU1	m64474e_240201_042250/22218844/ccs	Bacteroidota	36.97	24.0
MSU1	m64474e_240201_042250/21366895/ccs	Bacteroidota	42.24	25.0
MSU1	m64474e_240201_042250/140249684/ccs	Bacteroidota	49.74	19006.0
MSU1	m64474e_240201_042250/10945928/ccs	Bacteroidota	42.28	89.0
MSU1	m64474e_240201_042250/87752985/ccs	Bacteroidota	46.3	78.0
MSU1	m64474e_240201_042250/148177051/ccs	Bacteroidota	31.96	7.0
MSU1	m64474e_240201_042250/139395228/ccs	Bacteroidota	50.96	261.0
MSU1	m64474e_240201_042250/98306141/ccs	Bacteroidota	43.5	226.0
MSU1	m64474e_240201_042250/127992966/ccs	Bacteroidota	40.03	22.0
MSU1	m64474e_240201_042250/69992741/ccs	Bacteroidota	44.77	7.0
MSU1	m64474e_240201_042250/94176646/ccs	Bacteroidota	39.75	1.0
MSU1	m64474e_240201_042250/151194343/ccs	Bacteroidota	45.74	271.0
MSU1	m64474e_240201_042250/88081839/ccs	Bacteroidota	44.76	246.0
MSU1	m64474e_240201_042250/109315619/ccs	Bacteroidota	44.72	7.0
MSU1	m64474e_240201_042250/153617205/ccs	Bacteroidota	32.71	31.0
MSU1	m64474e_240201_042250/179832209/ccs	Bacteroidota	49.87	62493.0
MSU1	m64474e_240201_042250/138937561/ccs	Bacteroidota	43.96	179.0
MSU1	m64474e_240201_042250/105056120/ccs	Bacteroidota	45.26	250.0
MSU1	m64474e_240201_042250/42797297/ccs	Bacteroidota	46.91	239.0
MSU1	m64474e_240201_042250/73139979/ccs	Bacteroidota	46.54	273.0
MSU1	m64474e_240201_042250/110166088/ccs	Bacteroidota	33.95	32.0
MSU1	m64474e_240201_042250/116261103/ccs	Bacteroidota	47.69	103.0
MSU1	m64474e_240201_042250/143067478/ccs	Bacteroidota	47.06	253.0
MSU1	m64474e_240201_042250/8587375/ccs	Bacteroidota	49.96	104.0
MSU1	m64474e_240201_042250/111676191/ccs	Bacteroidota	46.81	95.0
MSU1	m64474e_240201_042250/9175054/ccs	Bacteroidota	45.99	34.0
MSU1	m64474e_240201_042250/160433954/ccs	Bacteroidota	46.84	245.0
MSU1	m64474e_240201_042250/162136239/ccs	Bacteroidota	50.05	237.0
MSU1	m64474e_240201_042250/3999321/ccs	Bacteroidota	32.93	14.0
MSU1	m64474e_240201_042250/113050671/ccs	Bacteroidota	46.64	16025.0
MSU1	m64474e_240201_042250/129042950/ccs	Bacteroidota	46.24	245.0
MSU1	m64474e_240201_042250/172689644/ccs	Bacteroidota	44.76	107.0
MSU1	m64474e_240201_042250/56951560/ccs	Bacteroidota	46.39	176.0
MSU1	m64474e_240201_042250/104333566/ccs	Bacteroidota	44.63	302.0
MSU1	m64474e_240201_042250/61147862/ccs	Bacteroidota	47.67	194.0
MSU1	m64474e_240201_042250/75825977/ccs	Bacteroidota	43.18	190.0
MSU1	m64474e_240201_042250/18221664/ccs	Bacteroidota	33.58	35.0
MSU1	m64474e_240201_042250/131665/ccs	Bacteroidota	45.66	199.0
MSU1	m64474e_240201_042250/101714183/ccs	Bacteroidota	43.61	239.0
MSU1	m64474e_240201_042250/80216474/ccs	Bacteroidota	45.06	261.0
MSU1	m64474e_240201_042250/122685955/ccs	Bacteroidota	46.68	175.0
MSU1	m64474e_240201_042250/113314551/ccs	Bacteroidota	47.48	232.0
MSU1	m64474e_240201_042250/29230476/ccs	Bacteroidota	44.95	282.0
MSU1	m64474e_240201_042250/111871203/ccs	Bacteroidota	47.65	223.0
MSU1	m64474e_240201_042250/137890567/ccs	Bacteroidota	49.14	97.0
MSU1	m64474e_240201_042250/55052829/ccs	Bacteroidota	45.98	212.0
MSU1	m64474e_240201_042250/82512360/ccs	Bacteroidota	48.5	104.0
MSU1	m64474e_240201_042250/159121892/ccs	Bacteroidota	45.45	266.0
MSU1	m64474e_240201_042250/86180716/ccs	Bacteroidota	42.57	294.0
MSU1	m64474e_240201_042250/40960700/ccs	Bacteroidota	44.71	225.0
MSU1	m64474e_240201_042250/125044284/ccs	Bacteroidota	47.82	86.0
MSU1	m64474e_240201_042250/96928920/ccs	Bacteroidota	44.58	257.0
MSU1	m64474e_240201_042250/27067373/ccs	Bacteroidota	46.77	218.0
MSU1	m64474e_240201_042250/132184/ccs	Bacteroidota	45.59	307.0
MSU1	m64474e_240201_042250/158205294/ccs	Bacteroidota	45.49	264.0
MSU1	m64474e_240201_042250/59509569/ccs	Bacteroidota	44.82	270.0
MSU1	m64474e_240201_042250/147063642/ccs	Bacteroidota	42.79	220.0
MSU1	m64474e_240201_042250/117965779/ccs	Bacteroidota	50.28	69.0
MSU1	m64474e_240201_042250/113773327/ccs	Bacteroidota	46.04	208.0
MSU1	m64474e_240201_042250/88475451/ccs	Bacteroidota	46.07	265.0
MSU1	m64474e_240201_042250/18350806/ccs	Bacteroidota	45.94	99.0
MSU1	m64474e_240201_042250/76218990/ccs	Bacteroidota	47.47	91.0
MSU1	m64474e_240201_042250/117441547/ccs	Bacteroidota	46.39	805.0
MSU1	m64474e_240201_042250/88672271/ccs	Bacteroidota	50.41	97.0
MSU1	m64474e_240201_042250/26413728/ccs	Bacteroidota	43.86	177.0
MSU1	m64474e_240201_042250/83821815/ccs	Bacteroidota	49.8	82.0
MSU1	m64474e_240201_042250/7539530/ccs	Bacteroidota	45.81	253.0
MSU1	m64474e_240201_042250/31984451/ccs	Bacteroidota	44.5	257.0
MSU1	m64474e_240201_042250/71697053/ccs	Bacteroidota	45.58	242.0
MSU1	m64474e_240201_042250/157615817/ccs	Bacteroidota	47.85	96.0
MSU1	m64474e_240201_042250/22481092/ccs	Bacteroidota	40.6	171.0
MSU1	m64474e_240201_042250/115804155/ccs	Bacteroidota	37.69	38.0
MSU1	m64474e_240201_042250/156240314/ccs	Bacteroidota	44.01	198.0
MSU1	m64474e_240201_042250/120719796/ccs	Bacteroidota	45.77	175.0
MSU1	m64474e_240201_042250/17041526/ccs	Bacteroidota	47.48	169.0
MSU1	m64474e_240201_042250/48694628/ccs	Bacteroidota	47.81	100.0
MSU1	m64474e_240201_042250/123732443/ccs	Bacteroidota	48.27	105.0
MSU1	m64474e_240201_042250/127273735/ccs	Bacteroidota	45.6	275.0
MSU1	m64474e_240201_042250/27200199/ccs	Bacteroidota	51.87	274.0
MSU1	m64474e_240201_042250/35326009/ccs	Bacteroidota	42.81	154.0
MSU1	m64474e_240201_042250/75957798/ccs	Bacteroidota	45.55	187.0
MSU1	m64474e_240201_042250/110363046/ccs	Bacteroidota	33.19	12.0
MSU1	m64474e_240201_042250/134482064/ccs	Bacteroidota	47.68	80.0
MSU1	m64474e_240201_042250/79103131/ccs	Bacteroidota	44.84	294.0
MSU1	m64474e_240201_042250/3606164/ccs	Bacteroidota	44.51	245.0
MSU1	m64474e_240201_042250/177145607/ccs	Bacteroidota	35.81	230.0
MSU1	m64474e_240201_042250/72354551/ccs	Bacteroidota	43.54	198.0
MSU1	m64474e_240201_042250/53151562/ccs	Bacteroidota	42.64	5.0
MSU1	m64474e_240201_042250/98961049/ccs	Bacteroidota	47.8	99.0
MSU1	m64474e_240201_042250/133501/ccs	Bacteroidota	43.98	249.0
MSU1	m64474e_240201_042250/88343169/ccs	Bacteroidota	33.17	11.0
MSU1	m64474e_240201_042250/62914583/ccs	Bacteroidota	45.66	254.0
MSU1	m64474e_240201_042250/112984244/ccs	Bacteroidota	45.23	216.0
MSU1	m64474e_240201_042250/118556212/ccs	Bacteroidota	40.78	247.0
MSU1	m64474e_240201_042250/176818080/ccs	Bacteroidota	41.14	188.0
MSU1	m64474e_240201_042250/89982816/ccs	Bacteroidota	30.98	8.0
MSU1	m64474e_240201_042250/105122625/ccs	Bacteroidota	46.52	91.0
MSU1	m64474e_240201_042250/108595711/ccs	Bacteroidota	42.78	265.0
MSU1	m64474e_240201_042250/37815899/ccs	Bacteroidota	49.14	240.0
MSU1	m64474e_240201_042250/153027106/ccs	Bacteroidota	43.66	239.0
MSU1	m64474e_240201_042250/34865499/ccs	Bacteroidota	44.34	232.0
MSU1	m64474e_240201_042250/117246778/ccs	Bacteroidota	49.58	62493.0
MSU1	m64474e_240201_042250/32310287/ccs	Bacteroidota	46.67	93.0
MSU1	m64474e_240201_042250/25496030/ccs	Bacteroidota	43.36	260.0
MSU1	m64474e_240201_042250/83886657/ccs	Bacteroidota	46.31	253.0
MSU1	m64474e_240201_042250/139985247/ccs	Bacteroidota	32.67	39.0
MSU1	m64474e_240201_042250/115280556/ccs	Bacteroidota	46.98	113.0
MSU1	m64474e_240201_042250/111215759/ccs	Bacteroidota	43.32	193.0
MSU1	m64474e_240201_042250/86772487/ccs	Bacteroidota	47.75	101.0
MSU1	m64474e_240201_042250/140183174/ccs	Bacteroidota	39.91	24.0
MSU1	m64474e_240201_042250/29820403/ccs	Bacteroidota	44.21	4.0
MSU1	m64474e_240201_042250/84345151/ccs	Bacteroidota	38.95	25.0
MSU1	m64474e_240201_042250/72024494/ccs	Bacteroidota	47.17	103.0
MSU1	m64474e_240201_042250/49939794/ccs	Bacteroidota	48.23	179.0
MSU1	m64474e_240201_042250/78645464/ccs	Bacteroidota	42.14	264.0
MSU1	m64474e_240201_042250/114166571/ccs	Bacteroidota	44.69	237.0
MSU1	m64474e_240201_042250/52233544/ccs	Bacteroidota	48.24	182.0
MSU1	m64474e_240201_042250/117639468/ccs	Bacteroidota	36.64	23.0
MSU1	m64474e_240201_042250/53414542/ccs	Bacteroidota	45.3	254.0
MSU1	m64474e_240201_042250/100664886/ccs	Bacteroidota	47.77	32835.0
MSU1	m64474e_240201_042250/25560520/ccs	Bacteroidota	45.46	207.0
MSU1	m64474e_240201_042250/121504883/ccs	Bacteroidota	47.48	173.0
MSU1	m64474e_240201_042250/109906618/ccs	Bacteroidota	44.02	293.0
MSU1	m64474e_240201_042250/57608213/ccs	Bacteroidota	45.37	253.0
MSU1	m64474e_240201_042250/163905964/ccs	Bacteroidota	46.51	146.0
MSU1	m64474e_240201_042250/24906099/ccs	Bacteroidota	44.96	293.0
MSU1	m64474e_240201_042250/10093463/ccs	Bacteroidota	45.38	216.0
MSU1	m64474e_240201_042250/133236294/ccs	Bacteroidota	43.52	221.0
MSU1	m64474e_240201_042250/121569701/ccs	Bacteroidota	46.97	258.0
MSU1	m64474e_240201_042250/52627875/ccs	Bacteroidota	44.51	287.0
MSU1	m64474e_240201_042250/56885509/ccs	Bacteroidota	45.13	222.0
MSU1	m64474e_240201_042250/154338696/ccs	Bacteroidota	46.06	213.0
MSU1	m64474e_240201_042250/104466148/ccs	Bacteroidota	46.89	100.0
MSU1	m64474e_240201_042250/135529062/ccs	Bacteroidota	43.07	204.0
MSU1	m64474e_240201_042250/174721836/ccs	Bacteroidota	45.11	224.0
MSU1	m64474e_240201_042250/198240/ccs	Bacteroidota	43.74	246.0
MSU1	m64474e_240201_042250/138150978/ccs	Bacteroidota	50.02	62581.0
MSU1	m64474e_240201_042250/77857816/ccs	Bacteroidota	45.18	87.0
MSU1	m64474e_240201_042250/163185992/ccs	Bacteroidota	46.55	259.0
MSU1	m64474e_240201_042250/151716447/ccs	Bacteroidota	43.93	222.0
MSU1	m64474e_240201_042250/5966464/ccs	Bacteroidota	50.3	62590.0
MSU1	m64474e_240201_042250/149620571/ccs	Bacteroidota	46.46	96.0
MSU1	m64474e_240201_042250/70845282/ccs	Bacteroidota	40.11	23.0
MSU1	m64474e_240201_042250/51839962/ccs	Bacteroidota	44.18	78.0
MSU1	m64474e_240201_042250/150799213/ccs	Bacteroidota	42.77	245.0
MSU1	m64474e_240201_042250/72877070/ccs	Bacteroidota	46.15	266.0
MSU1	m64474e_240201_042250/97453591/ccs	Bacteroidota	45.41	211.0
MSU1	m64474e_240201_042250/121178419/ccs	Bacteroidota	49.1	84.0
MSU1	m64474e_240201_042250/39518267/ccs	Bacteroidota	48.25	86.0
MSU1	m64474e_240201_042250/69206878/ccs	Bacteroidota	43.47	187.0
MSU1	m64474e_240201_042250/160236998/ccs	Bacteroidota	51.22	95.0
MSU1	m64474e_240201_042250/56819902/ccs	Bacteroidota	47.1	82.0
MSU1	m64474e_240201_042250/22873679/ccs	Bacteroidota	45.14	239.0
MSU1	m64474e_240201_042250/41944002/ccs	Bacteroidota	44.81	277.0
MSU1	m64474e_240201_042250/40502909/ccs	Bacteroidota	45.96	101.0
MSU1	m64474e_240201_042250/15271714/ccs	Bacteroidota	48.56	245.0
MSU1	m64474e_240201_042250/51118312/ccs	Bacteroidota	47.14	89.0
MSU1	m64474e_240201_042250/8522557/ccs	Bacteroidota	47.14	84.0
MSU1	m64474e_240201_042250/100271533/ccs	Bacteroidota	46.88	86.0
MSU1	m64474e_240201_042250/78446611/ccs	Bacteroidota	44.81	191.0
MSU1	m64474e_240201_042250/130811108/ccs	Bacteroidota	48.92	92.0
MSU1	m64474e_240201_042250/121045127/ccs	Bacteroidota	45.13	89.0
MSU1	m64474e_240201_042250/53871581/ccs	Bacteroidota	45.03	284.0
MSU1	m64474e_240201_042250/38862948/ccs	Bacteroidota	43.49	228.0
MSU1	m64474e_240201_042250/154208749/ccs	Bacteroidota	38.35	26.0
MSU1	m64474e_240201_042250/126222882/ccs	Bacteroidota	48.03	243.0
MSU1	m64474e_240201_042250/165021631/ccs	Bacteroidota	40.5	34.0
MSU1	m64474e_240201_042250/44500889/ccs	Bacteroidota	45.81	251.0
MSU1	m64474e_240201_042250/91358119/ccs	Bacteroidota	50.47	217.0
MSU1	m64474e_240201_042250/129305321/ccs	Bacteroidota	45.6	1276.0
MSU1	m64474e_240201_042250/54725017/ccs	Bacteroidota	47.92	163.0
MSU1	m64474e_240201_042250/8456844/ccs	Bacteroidota	34.77	29.0
MSU1	m64474e_240201_042250/94044466/ccs	Bacteroidota	43.27	202.0
MSU1	m64474e_240201_042250/63441262/ccs	Bacteroidota	50.11	111.0
MSU1	m64474e_240201_042250/140642278/ccs	Bacteroidota	51.33	261.0
MSU1	m64474e_240201_042250/111804570/ccs	Bacteroidota	45.13	80.0
MSU1	m64474e_240201_042250/7014562/ccs	Bacteroidota	49.75	244.0
MSU1	m64474e_240201_042250/72222263/ccs	Bacteroidota	45.81	231.0
MSU1	m64474e_240201_042250/151456361/ccs	Bacteroidota	45.99	87.0
MSU1	m64474e_240201_042250/29229446/ccs	Bacteroidota	46.68	90.0
MSU1	m64474e_240201_042250/172493024/ccs	Bacteroidota	42.14	254.0
MSU1	m64474e_240201_042250/143788100/ccs	Bacteroidota	46.3	76.0
MSU1	m64474e_240201_042250/177407584/ccs	Bacteroidota	49.83	62538.0
MSU1	m64474e_240201_042250/118883255/ccs	Bacteroidota	45.76	257.0
MSU1	m64474e_240201_042250/77465796/ccs	Bacteroidota	47.21	265.0
MSU1	m64474e_240201_042250/134547472/ccs	Bacteroidota	47.89	93.0
MSU1	m64474e_240201_042250/89196272/ccs	Bacteroidota	44.49	240.0
MSU1	m64474e_240201_042250/160759986/ccs	Bacteroidota	47.67	96.0
MSU1	m64474e_240201_042250/141623682/ccs	Bacteroidota	45.06	86.0
MSU1	m64474e_240201_042250/68486258/ccs	Bacteroidota	47.98	2133.0
MSU1	m64474e_240201_042250/127468778/ccs	Bacteroidota	45.76	217.0
MSU1	m64474e_240201_042250/42863313/ccs	Bacteroidota	33.36	36.0
MSU1	m64474e_240201_042250/31066803/ccs	Bacteroidota	49.07	1284.0
MSU1	m64474e_240201_042250/98959725/ccs	Bacteroidota	47.25	88.0
MSU1	m64474e_240201_042250/113511230/ccs	Bacteroidota	44.72	191.0
MSU1	m64474e_240201_042250/103154364/ccs	Bacteroidota	45.92	229.0
MSU1	m64474e_240201_042250/23004005/ccs	Bacteroidota	47.86	95.0
MSU1	m64474e_240201_042250/89589086/ccs	Bacteroidota	44.06	7.0
MSU1	m64474e_240201_042250/47909081/ccs	Bacteroidota	43.72	265.0
MSU1	m64474e_240201_042250/168822582/ccs	Bacteroidota	45.97	269.0
MSU1	m64474e_240201_042250/174459429/ccs	Bacteroidota	45.46	255.0
MSU1	m64474e_240201_042250/12978172/ccs	Bacteroidota	46.36	179.0
MSU1	m64474e_240201_042250/65931040/ccs	Bacteroidota	47.19	94.0
MSU1	m64474e_240201_042250/124060801/ccs	Bacteroidota	46.58	83.0
MSU1	m64474e_240201_042250/47515406/ccs	Bacteroidota	42.86	256.0
MSU1	m64474e_240201_042250/169281202/ccs	Bacteroidota	50.1	62581.0
MSU1	m64474e_240201_042250/173474559/ccs	Bacteroidota	44.98	261.0
MSU1	m64474e_240201_042250/101844794/ccs	Bacteroidota	42.15	32.0
MSU1	m64474e_240201_042250/115016413/ccs	Bacteroidota	44.25	247.0
MSU1	m64474e_240201_042250/25100649/ccs	Bacteroidota	42.1	4.0
MSU1	m64474e_240201_042250/55969765/ccs	Bacteroidota	46.18	89.0
MSU1	m64474e_240201_042250/28378332/ccs	Bacteroidota	46.86	292.0
MSU1	m64474e_240201_042250/117639648/ccs	Bacteroidota	37.75	23.0
MSU1	m64474e_240201_042250/34277633/ccs	Bacteroidota	40.56	306.0
MSU1	m64474e_240201_042250/26149663/ccs	Bacteroidota	47.19	246.0
MSU1	m64474e_240201_042250/180553920/ccs	Bacteroidota	45.51	102.0
MSU1	m64474e_240201_042250/4065156/ccs	Bacteroidota	45.69	260.0
MSU1	m64474e_240201_042250/39322714/ccs	Bacteroidota	42.67	213.0
MSU1	m64474e_240201_042250/128320767/ccs	Bacteroidota	33.72	32.0
MSU1	m64474e_240201_042250/130351889/ccs	Bacteroidota	43.57	225.0
MSU1	m64474e_240201_042250/73203937/ccs	Bacteroidota	49.84	83.0
MSU1	m64474e_240201_042250/11077175/ccs	Bacteroidota	48.12	96.0
MSU1	m64474e_240201_042250/59378221/ccs	Bacteroidota	44.05	184.0
MSU1	m64474e_240201_042250/120784972/ccs	Bacteroidota	45.31	179.0
MSU1	m64474e_240201_042250/24708767/ccs	Bacteroidota	44.89	200.0
