qseqid	sseqid	pident	length	qlen	slen	evalue	qstart	qend	sstart	send	staxids	sphylums	sgenus	sspecies
Pcub-MSU1_013_000471.1	CCF43992.1	85.3	95	382	481	4.33e-42	184	278	325	419	80884	Ascomycota	Colletotrichum	Colletotrichum higginsianum
Pcub-MSU1_013_000469.1	KAF6830498.1	94.2	346	346	346	6.57e-247	1	346	1	346	2175873;2175906	Ascomycota	Colletotrichum	Colletotrichum musicola;Colletotrichum plurivorum
Pcub-MSU1_013_000120.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000121.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000122.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000123.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000124.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000125.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000468.1	KAF6805178.1	95.3	129	184	346	2.19e-77	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000126.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000127.1	KAF6805178.1	94.6	129	184	346	2.51e-76	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000128.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000129.1	KAF6805178.1	94.6	129	184	346	2.51e-76	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000130.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000131.1	KAF6805178.1	96.1	129	184	346	1.92e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000132.1	KAF6805178.1	93.8	129	184	346	6.23e-77	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000133.1	KAF6805178.1	93.0	129	184	346	1.25e-76	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000134.1	KAF6805178.1	93.0	129	184	346	1.25e-76	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000135.1	KAF6805178.1	93.0	129	184	346	1.43e-75	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000136.1	KAF6805178.1	95.3	129	184	346	1.09e-77	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000137.1	KAF6805178.1	94.6	129	184	346	3.11e-77	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000138.1	KAF6805178.1	93.0	129	184	346	8.14e-75	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000139.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000140.1	KAF6805178.1	93.8	129	184	346	4.40e-77	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000141.1	KAF6805178.1	94.6	129	184	346	2.72e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000142.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000143.1	KAF6805178.1	94.6	129	184	346	1.25e-76	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000144.1	KAF6805178.1	94.6	129	184	346	1.25e-76	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000145.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000146.1	KAF6805178.1	94.6	129	184	346	1.25e-76	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000147.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000148.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000149.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000150.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000151.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000152.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000153.1	KAF6805178.1	95.3	129	184	346	1.35e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000154.1	KAF6805178.1	95.3	129	184	346	3.85e-78	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000155.1	KAF6805178.1	94.6	129	184	346	8.83e-77	1	129	1	129	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-MSU1_013_000156.1	KAF6805178.1	95.0	101	116	346	3.92e-57	1	101	1	101	2175907	Ascomycota	Colletotrichum	Colletotrichum sojae
Pcub-SC1982_008_000412.1	RMX66992.1	82.5	297	293	298	3.87e-154	1	292	1	297	542832	Oomycota	Peronospora	Peronospora effusa
Pcub-SC1982_008_000411.1	KAE8936502.1	60.8	74	76	174	1.29e-20	3	76	51	124	53985	Oomycota	Phytophthora	Phytophthora fragariae
Pcub-SC1982_008_000409.1	CCF43992.1	85.3	95	384	481	4.55e-42	180	274	325	419	80884	Ascomycota	Colletotrichum	Colletotrichum higginsianum
Pcub-SC1982_008_000407.1	KAF6830498.1	93.0	215	215	346	6.97e-150	1	215	132	346	2175873;2175906	Ascomycota	Colletotrichum	Colletotrichum musicola;Colletotrichum plurivorum
Pcub-SC1982_037_000287.1	MCG9912360.1	85.4	315	333	424	4.85e-123	16	330	14	327		N/A	N/A	N/A
Pcub-SC1982_037_000286.1	MCG9912286.1	83.7	596	1051	604	0.0	1	596	1	596		N/A	N/A	N/A
Pcub-SC1982_037_000001.1	MCG9912285.1	54.2	203	215	185	8.42e-67	12	214	10	184		N/A	N/A	N/A
Pcub-SC1982_037_000002.1	MCG9912283.1	80.6	350	972	368	1.26e-197	233	582	17	366		N/A	N/A	N/A
Pcub-SC1982_037_000004.1	MCG9910183.1	56.3	355	354	354	3.74e-136	1	354	1	354		N/A	N/A	N/A
Pcub-SC1982_037_000005.1	MCG9910184.1	76.8	185	185	189	1.87e-103	1	185	1	185		N/A	N/A	N/A
Pcub-SC1982_037_000006.1	MCG9910185.1	86.8	340	340	339	2.37e-223	1	340	1	339		N/A	N/A	N/A
Pcub-SC1982_037_000007.1	MCG9910187.1	68.3	420	830	422	5.03e-197	249	668	1	420		N/A	N/A	N/A
Pcub-SC1982_037_000285.1	MCG9912282.1	79.3	266	266	266	9.04e-150	1	266	1	266		N/A	N/A	N/A
Pcub-SC1982_037_000284.1	MBL0912717.1	48.1	287	276	289	1.82e-83	2	276	3	289		N/A	N/A	N/A
Pcub-SC1982_037_000283.1	MCG9911630.1	81.5	254	256	259	5.26e-147	2	255	6	259		N/A	N/A	N/A
Pcub-SC1982_037_000282.1	MCG9911633.1	64.7	218	234	223	1.18e-94	18	233	4	221		N/A	N/A	N/A
Pcub-SC1982_037_000008.1	MCG9911634.1	47.7	176	325	204	4.69e-48	85	258	16	191		N/A	N/A	N/A
Pcub-SC1982_037_000281.1	MCG9911579.1	36.0	111	131	134	1.68e-15	21	130	23	133		N/A	N/A	N/A
Pcub-SC1982_037_000280.1	MDO8428908.1	63.0	135	134	135	2.13e-54	1	134	1	135		N/A	N/A	N/A
Pcub-SC1982_037_000009.1	MBL0910827.1	85.2	725	1240	744	0.0	1	724	1	724		N/A	N/A	N/A
Pcub-SC1982_037_000010.1	MCG9910603.1	54.4	237	239	235	2.63e-83	3	239	2	235		N/A	N/A	N/A
Pcub-SC1982_037_000279.1	MCG9910604.1	78.4	153	154	155	2.09e-82	1	153	1	153		N/A	N/A	N/A
Pcub-SC1982_037_000277.1	MBL7992638.1	52.7	167	171	173	6.13e-60	1	167	1	167		N/A	N/A	N/A
Pcub-SC1982_037_000276.1	MBK9421390.1	30.5	256	254	272	4.46e-20	9	254	9	263		N/A	N/A	N/A
Pcub-SC1982_037_000275.1	MCG9910606.1	79.7	202	231	202	3.59e-109	30	231	1	202		N/A	N/A	N/A
Pcub-SC1982_037_000274.1	MCG9910607.1	63.3	308	315	368	8.98e-140	4	311	3	310		N/A	N/A	N/A
Pcub-SC1982_037_000011.1	MCG9910608.1	85.9	376	376	376	9.60e-246	1	376	1	376		N/A	N/A	N/A
Pcub-SC1982_037_000273.1	MCG9910609.1	51.1	278	276	279	4.94e-81	1	275	1	278		N/A	N/A	N/A
Pcub-SC1982_037_000012.1	MCG9910610.1	49.6	278	304	308	5.61e-84	28	301	29	305		N/A	N/A	N/A
Pcub-SC1982_037_000272.1	MCG9910611.1	88.9	253	253	253	1.37e-165	1	253	1	253		N/A	N/A	N/A
Pcub-SC1982_037_000271.1	MCG9910613.1	88.0	659	875	666	0.0	217	875	8	666		N/A	N/A	N/A
Pcub-SC1982_037_000270.1	MCG9909655.1	53.4	232	232	232	3.52e-76	1	232	2	232		N/A	N/A	N/A
Pcub-SC1982_037_000269.1	MCG9909657.1	74.3	210	352	216	8.56e-111	1	209	1	210		N/A	N/A	N/A
Pcub-SC1982_037_000013.1	MCG9909658.1	69.2	516	551	524	6.50e-270	36	551	11	520		N/A	N/A	N/A
Pcub-SC1982_037_000268.1	MCG9909659.1	80.9	230	243	299	1.45e-129	1	230	63	292		N/A	N/A	N/A
Pcub-SC1982_037_000267.1	MCG9909660.1	70.2	349	359	360	2.86e-181	6	354	5	353		N/A	N/A	N/A
Pcub-SC1982_037_000014.1	KXK22693.1	67.3	245	263	244	1.46e-112	19	263	1	244	1619897	Bacteroidota	N/A	Bacteroidetes bacterium OLB12
Pcub-SC1982_037_000266.1	WP_118950515.1	76.4	754	757	756	0.0	5	757	3	755	2301235	Bacteroidota	Taibaiella	Taibaiella helva
Pcub-SC1982_037_000265.1	MCW3085233.1	54.4	342	359	368	1.95e-133	2	340	4	345		N/A	N/A	N/A
Pcub-SC1982_037_000015.1	KXK22694.1	34.7	331	309	298	1.87e-12	1	309	9	298	1619897	Bacteroidota	N/A	Bacteroidetes bacterium OLB12
Pcub-SC1982_037_000016.1	MCG9909663.1	66.1	1236	1245	1287	0.0	11	1245	57	1287		N/A	N/A	N/A
Pcub-SC1982_037_000017.1	MCG9909664.1	71.9	501	503	502	6.72e-280	1	501	1	500		N/A	N/A	N/A
Pcub-SC1982_037_000018.1	MCS6980644.1	32.4	503	547	518	7.43e-64	50	532	1	495		N/A	N/A	N/A
Pcub-SC1982_037_000264.1	MDF3077079.1	66.5	173	175	211	1.93e-82	1	173	36	208		N/A	N/A	N/A
Pcub-SC1982_037_000019.1	MCG9909666.1	66.1	799	816	823	0.0	11	809	24	820		N/A	N/A	N/A
Pcub-SC1982_037_000263.1	MCG9909667.1	83.9	174	190	180	2.37e-103	11	184	1	174		N/A	N/A	N/A
Pcub-SC1982_037_000020.1	HAY32855.1	57.1	203	204	202	4.55e-65	1	203	1	201		N/A	N/A	N/A
Pcub-SC1982_037_000262.1	MCG9909668.1	61.5	78	78	78	1.90e-22	1	78	1	78		N/A	N/A	N/A
Pcub-SC1982_037_000261.1	WP_300354647.1	86.7	128	130	129	3.15e-72	1	128	1	128	1917219	Bacteroidota	Fluviicola	Fluviicola sp.
Pcub-SC1982_037_000260.1	MAX82297.1	48.6	313	466	818	2.40e-82	1	310	106	417		N/A	N/A	N/A
Pcub-SC1982_037_000259.1	MAX82297.1	65.7	35	52	818	2.32e-05	17	51	25	59		N/A	N/A	N/A
Pcub-SC1982_037_000021.1	OJU73649.1	53.9	102	115	114	1.57e-28	15	115	13	114	1895926	Bacteroidota	N/A	Bacteroidetes bacterium 47-18
Pcub-SC1982_037_000258.1	MBL0912998.1	57.6	210	217	219	3.75e-76	9	217	9	218		N/A	N/A	N/A
Pcub-SC1982_037_000257.1	MBL0912999.1	69.9	146	168	155	3.39e-64	21	166	7	152		N/A	N/A	N/A
Pcub-SC1982_037_000256.1	MBL0912858.1	50.6	794	821	775	5.73e-232	30	811	8	766		N/A	N/A	N/A
Pcub-SC1982_037_000255.1	MCD6065208.1	44.8	609	614	608	4.25e-174	11	612	6	606		N/A	N/A	N/A
Pcub-SC1982_037_000254.1	MCG9909669.1	75.6	180	180	180	1.50e-85	1	180	1	180		N/A	N/A	N/A
Pcub-SC1982_037_000253.1	MCG9909670.1	74.3	187	199	221	4.23e-97	10	196	35	221		N/A	N/A	N/A
Pcub-SC1982_037_000252.1	MCG9909671.1	68.0	231	240	236	2.74e-107	10	240	8	236		N/A	N/A	N/A
Pcub-SC1982_037_000251.1	MCG9909673.1	88.7	230	406	240	2.46e-146	1	230	1	230		N/A	N/A	N/A
Pcub-SC1982_037_000250.1	MCG9909675.1	79.9	273	486	299	2.65e-151	17	289	18	290		N/A	N/A	N/A
Pcub-SC1982_037_000022.1	MCG9909676.1	67.6	466	476	467	4.07e-235	11	476	1	466		N/A	N/A	N/A
Pcub-SC1982_037_000249.1	WP_256549512.1	70.6	109	109	109	4.99e-48	1	109	1	109	2502784	Bacteroidota	Flavobacterium	Flavobacterium cerinum
Pcub-SC1982_037_000248.1	WP_316794679.1	49.1	114	148	163	2.35e-34	35	147	49	162	2571272	Bacteroidota	Pedobacter	Pedobacter frigoris
Pcub-SC1982_037_000247.1	MCG9909885.1	78.1	708	703	715	0.0	6	702	7	714		N/A	N/A	N/A
Pcub-SC1982_037_000023.1	WP_234067711.1	33.8	1046	1183	1094	1.16e-135	214	1183	97	1093	83455	Myxococcota	Myxococcus	Myxococcus stipitatus
Pcub-SC1982_037_000246.1	MCG9912326.1	67.2	271	271	271	6.97e-138	1	271	1	271		N/A	N/A	N/A
Pcub-SC1982_037_000245.1	MBL0913749.1	58.7	472	472	477	4.44e-188	1	469	1	472		N/A	N/A	N/A
Pcub-SC1982_037_000024.1	MBX2952057.1	48.3	174	172	181	1.39e-43	8	170	6	179		N/A	N/A	N/A
Pcub-SC1982_037_000244.1	MDX1653086.1	51.9	618	744	759	5.88e-207	39	646	54	670		N/A	N/A	N/A
Pcub-SC1982_037_000243.1	WP_211976358.1	50.3	308	308	318	1.76e-96	4	308	14	317	79328	Bacteroidota	Chitinophaga	N/A
Pcub-SC1982_037_000025.1	MCG9912322.1	93.5	936	948	936	0.0	13	948	1	936		N/A	N/A	N/A
Pcub-SC1982_037_000026.1	MCG9912321.1	56.3	71	74	70	1.09e-14	3	73	2	68		N/A	N/A	N/A
Pcub-SC1982_037_000027.1	MCG9912320.1	59.0	843	840	842	0.0	1	839	1	839		N/A	N/A	N/A
Pcub-SC1982_037_000028.1	WP_173075371.1	43.2	410	402	439	2.65e-116	1	402	30	439	2590900	Bacteroidota	Tenuifilum	Tenuifilum thalassicum
Pcub-SC1982_037_000029.1	MDZ4823194.1	46.1	399	1332	424	1.76e-110	708	1106	11	407		N/A	N/A	N/A
Pcub-SC1982_037_000242.1	HOY31327.1	42.2	256	488	285	7.16e-72	10	265	1	256		N/A	N/A	N/A
Pcub-SC1982_037_000030.1	MCG9912307.1	63.0	486	489	493	9.02e-218	5	486	7	492		N/A	N/A	N/A
Pcub-SC1982_037_000241.1	PAM91637.1	54.4	522	569	592	3.25e-176	58	569	93	592	2026304	Bacteroidota	Flavobacterium	Flavobacterium sp. IR1
Pcub-SC1982_037_000240.1	MCG9912306.1	78.5	689	715	691	0.0	24	712	1	689		N/A	N/A	N/A
Pcub-SC1982_037_000239.1	HVE00003.1	42.6	432	432	430	5.32e-111	1	432	1	430		N/A	N/A	N/A
Pcub-SC1982_037_000238.1	HVE00004.1	68.5	517	521	524	8.95e-253	5	521	8	524		N/A	N/A	N/A
Pcub-SC1982_037_000237.1	MDF2381495.1	55.6	347	351	349	2.55e-112	4	350	3	348		N/A	N/A	N/A
Pcub-SC1982_037_000031.1	HZX75307.1	44.3	158	165	159	2.56e-37	1	158	1	158		N/A	N/A	N/A
Pcub-SC1982_037_000236.1	MCG9912304.1	70.7	338	575	348	4.15e-170	1	338	1	337		N/A	N/A	N/A
Pcub-SC1982_037_000032.1	WP_106524902.1	71.9	313	627	316	3.38e-153	315	627	4	316	1434707	Bacteroidota	Taibaiella	Taibaiella chishuiensis
Pcub-SC1982_037_000235.1	MCG9912300.1	61.7	506	1149	532	1.34e-232	1	506	1	506		N/A	N/A	N/A
Pcub-SC1982_037_000234.1	MCG9912299.1	34.9	172	198	188	3.02e-32	21	191	17	186		N/A	N/A	N/A
Pcub-SC1982_037_000233.1	MCG9912298.1	75.6	447	431	449	1.82e-236	4	431	3	449		N/A	N/A	N/A
Pcub-SC1982_037_000232.1	MCG9912297.1	60.4	623	726	614	2.10e-256	100	718	1	606		N/A	N/A	N/A
Pcub-SC1982_037_000231.1	MCG9912295.1	71.5	263	267	278	5.65e-126	2	264	16	276		N/A	N/A	N/A
Pcub-SC1982_037_000230.1	MCG9912294.1	96.4	303	303	340	5.09e-204	1	303	38	340		N/A	N/A	N/A
Pcub-SC1982_037_000229.1	MCG9912293.1	81.8	510	510	510	1.66e-300	1	510	1	510		N/A	N/A	N/A
Pcub-SC1982_037_000033.1	MCG9912292.1	75.6	414	414	414	2.03e-220	1	414	1	414		N/A	N/A	N/A
Pcub-SC1982_037_000228.1	HKR03039.1	37.0	535	556	489	1.32e-111	8	541	8	482		N/A	N/A	N/A
Pcub-SC1982_037_000227.1	WP_294874920.1	59.6	302	302	302	4.82e-130	1	302	1	302		N/A	N/A	N/A
Pcub-SC1982_037_000226.1	KAI9452608.1	67.4	1449	1411	1455	0.0	1	1411	1	1449	71964	Basidiomycota	Russula	Russula earlei
Pcub-SC1982_037_000225.1	MBL0912400.1	70.5	444	465	458	2.30e-222	22	465	15	458		N/A	N/A	N/A
Pcub-SC1982_037_000224.1	MBS1593998.1	79.9	264	264	264	3.90e-143	1	264	1	264		N/A	N/A	N/A
Pcub-SC1982_037_000223.1	MBL0912402.1	83.3	348	443	349	1.21e-208	96	443	1	348		N/A	N/A	N/A
Pcub-SC1982_037_000222.1	MBL0912403.1	62.7	408	623	418	1.42e-175	216	623	11	418		N/A	N/A	N/A
Pcub-SC1982_037_000221.1	MBL7711741.1	72.4	145	335	156	1.06e-59	4	145	3	147		N/A	N/A	N/A
Pcub-SC1982_037_000220.1	MCG9912290.1	89.5	372	1554	424	8.75e-221	782	1153	1	372		N/A	N/A	N/A
Pcub-SC1982_037_000034.1	WP_167258137.1	75.2	129	140	143	1.79e-63	1	129	4	132	231454	Pseudomonadota	Dyella	N/A
Pcub-SC1982_037_000219.1	MCG9910817.1	66.1	183	216	188	1.44e-80	9	191	1	183		N/A	N/A	N/A
Pcub-SC1982_037_000036.1	MCG9910816.1	88.7	310	310	324	2.91e-185	1	310	15	324		N/A	N/A	N/A
Pcub-SC1982_037_000037.1	MCG9910815.1	49.2	183	184	202	1.45e-58	1	182	1	181		N/A	N/A	N/A
Pcub-SC1982_037_000038.1	MCG9912230.1	83.0	359	720	359	3.36e-215	1	359	1	359		N/A	N/A	N/A
Pcub-SC1982_037_000218.1	MCG9912233.1	78.5	376	397	377	2.21e-213	1	376	1	376		N/A	N/A	N/A
Pcub-SC1982_037_000039.1	WP_135529128.1	53.7	175	181	179	1.02e-57	5	179	3	177	1525360	Bacteroidota	Hymenobacter	Hymenobacter wooponensis
Pcub-SC1982_037_000040.1	MBL0912333.1	79.1	187	195	190	1.45e-96	1	187	1	187		N/A	N/A	N/A
Pcub-SC1982_037_000217.1	RYE25191.1	59.1	740	758	753	0.0	19	758	19	753	2044944	Bacteroidota	N/A	Sphingobacteriales bacterium
Pcub-SC1982_037_000216.1	WP_229598270.1	61.5	410	427	440	1.86e-166	14	423	11	420	2282308	Bacteroidota	Runella	Runella aurantiaca
Pcub-SC1982_037_000215.1	ASS47951.1	69.9	657	675	690	0.0	25	672	34	688	1798017;1798018;1798019	Bacteroidota	Fluviicola	Fluviicola sp. RIFCSPHIGHO2_01_FULL_43_53;Candidatus Fluviicola riflensis;Fluviicola sp. RIFCSPHIGHO2_12_FULL_43_24
