label	query_protein	gene_start	gene_end	nr_sseqid	nr_sspecies	nr_stitle	nr_pident	nr_length	nr_qlen	nr_slen	nr_qcovhsp	nr_evalue	nr_bitscore	oomycota_sseqid	oomycota_sspecies	oomycota_stitle	oomycota_pident	oomycota_length	oomycota_qlen	oomycota_slen	oomycota_qcovhsp	oomycota_evalue	oomycota_bitscore
MSU1_013_s1	Pcub-MSU1_013_000139.1	1136702	1137693	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000140.1	1137917	1138909	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	93.8	129	184	346	70.1	4.40e-77	244	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000141.1	1139116	1140155	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	2.72e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000142.1	1140329	1141364	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000143.1	1141550	1142571	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	1.25e-76	243	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	2.51e-12	68.2
MSU1_013_s1	Pcub-MSU1_013_000144.1	1142777	1143875	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	1.25e-76	243	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	2.51e-12	68.2
MSU1_013_s1	Pcub-MSU1_013_000145.1	1144001	1145020	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000146.1	1145222	1146207	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	1.25e-76	243	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	2.51e-12	68.2
MSU1_013_s1	Pcub-MSU1_013_000147.1	1146442	1147554	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000148.1	1147655	1148689	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000149.1	1148876	1149869	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000150.1	1150087	1151175	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000151.1	1151291	1152318	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000152.1	1152506	1153524	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000153.1	1153717	1154810	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	1.35e-78	248	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.32e-12	68.9
MSU1_013_s1	Pcub-MSU1_013_000154.1	1154928	1155946	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	3.85e-78	247	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.82e-12	68.6
MSU1_013_s1	Pcub-MSU1_013_000155.1	1156151	1157169	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	94.6	129	184	346	70.1	8.83e-77	244	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	53.7	67	184	272	36.4	1.82e-12	68.6
MSU1_013_s1	Pcub-MSU1_013_000468.1	1119319	1120380	KAF6805178.1	Colletotrichum sojae	KAF6805178.1 c-5 sterol desaturase [Colletotrichum sojae]	95.3	129	184	346	70.1	2.19e-77	245	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	55.2	67	184	272	36.4	5.02e-13	70.1
MSU1_013_s1	Pcub-MSU1_013_000469.1	1110544	1112010	KAF6830498.1	Colletotrichum musicola;Colletotrichum plurivorum	KAF6830498.1 c-5 sterol desaturase [Colletotrichum plurivorum]	94.2	346	346	346	100	6.57e-247	682	XP_008619546.1	Saprolegnia diclina	XP_008619546.1 lathosterol oxidase [Saprolegnia diclina VS20]	53.3	246	346	278	68.8	6.08e-89	272
MSU1_013_s1	Pcub-MSU1_013_000470.1	1106425	1106866																				
MSU1_013_s1	Pcub-MSU1_013_000471.1	1104688	1106419	XP_022480053.1	Colletotrichum orchidophilum	XP_022480053.1 glutaminyl-tRNA synthetase [Colletotrichum orchidophilum]	86.3	95	382	641	24.9	1.54e-41	166										
SC1982_008_s1	Pcub-SC1982_008_000407.1	1099743	1100791	KAF6830498.1	Colletotrichum musicola;Colletotrichum plurivorum	KAF6830498.1 c-5 sterol desaturase [Colletotrichum plurivorum]	93.0	215	215	346	100	6.97e-150	431	KAG4221181.1	Phytophthora cactorum	KAG4221181.1 hypothetical protein PC116_g30342 [Phytophthora cactorum]	68.4	136	215	143	63.3	4.95e-68	209
SC1982_008_s1	Pcub-SC1982_008_000408.1	1095351	1096027																				
SC1982_008_s1	Pcub-SC1982_008_000409.1	1093803	1095309	XP_022480053.1	Colletotrichum orchidophilum	XP_022480053.1 glutaminyl-tRNA synthetase [Colletotrichum orchidophilum]	86.3	95	384	641	24.7	1.62e-41	166										
OR502AA_015_s1	Phum-OR502AA_015_000335.1	735561	736507	KAF6830498.1	Colletotrichum musicola;Colletotrichum plurivorum	KAF6830498.1 c-5 sterol desaturase [Colletotrichum plurivorum]	92.5	147	198	346	74.2	1.79e-100	305	XP_012213374.1	Saprolegnia parasitica	XP_012213374.1 hypothetical protein SPRG_18544 [Saprolegnia parasitica CBS 223.65]	50.3	189	198	272	88.9	6.64e-58	187
OR502AA_015_s1	Phum-OR502AA_015_000336.1	733696	734112																				
OR502AA_015_s1	Phum-OR502AA_015_000337.1	730451	732264	XP_022480053.1	Colletotrichum orchidophilum	XP_022480053.1 glutaminyl-tRNA synthetase [Colletotrichum orchidophilum]	87.4	95	282	641	33.7	2.59e-44	170										
OR502AA_022_s1	Phum-OR502AA_022_000026.1	204335	205659	XP_009538857.1	Phytophthora sojae	XP_009538857.1 hypothetical protein PHYSODRAFT_532549 [Phytophthora sojae]	68.6	159	337	657	43.9	3.08e-60	215	XP_009538857.1	Phytophthora sojae	XP_009538857.1 hypothetical protein PHYSODRAFT_532549 [Phytophthora sojae]	68.6	159	337	657	43.9	7.62e-63	215
OR502AA_022_s1	Phum-OR502AA_022_000027.1	205668	206425	KAH6687277.1	Plectosphaerella plurivora	KAH6687277.1 amino acid permease-domain-containing protein [Plectosphaerella plurivora]	67.7	192	185	565	100	1.84e-79	257										
