id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_001_000811.1	interproscan	PTHR20544 domain-containing protein	226	418	598
Phum-OR502AA_001_000092.1	eggnog	axoneme assembly	35	128	157
Phum-OR502AA_001_000093.1	eggnog	axoneme assembly	5	22	20
Phum-OR502AA_001_000094.1	eggnog	Ankyrin repeats (many copies)	7	22	62
Phum-OR502AA_001_000095.1	eggnog	Ankyrin repeats (many copies)	0	16	24
Phum-OR502AA_001_000810.1	eggnog	protein tyrosine phosphatase activity	405	589	797
Phum-OR502AA_001_000809.1	eggnog	transposition, RNA-mediated	0	0	0
Phum-OR502AA_001_000096.1	eggnog	WD40 repeats	1519.043	1841.069	2474.778
Phum-OR502AA_001_000808.1	eggnog	domain-containing protein	6.521	100.315	86.861
Phum-OR502AA_001_000097.1	eggnog	domain-containing protein	25.479	28.685	135.139
Phum-OR502AA_001_000807.1	eggnog	WD40 repeats	10.957	6.931	10.222
Phum-OR502AA_001_000806.1	eggnog	Amino acid auxin permease-like protein	615	574	747
Phum-OR502AA_001_000805.1	eggnog	Transmembrane amino acid transporter protein	313	231	383
Phum-OR502AA_001_000804.1	eggnog	structural constituent of cell wall (attf-6)	0	11	22
Phum-OR502AA_001_000803.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000802.1	unannotated	Hypothetical protein of unknown function	0	21	33
Phum-OR502AA_001_000801.1	unannotated	Hypothetical protein of unknown function	0	1	0
Phum-OR502AA_001_000098.1	blastp	Homology to Hyaloperonospora brassicae predicted protein CAI5710828.1	11	23	26
Phum-OR502AA_001_000099.1	eggnog	tRNA methyltransferase complex GCD14 subunit	215	204	256
Phum-OR502AA_001_000800.1	eggnog	positive regulation of mitochondrial translation	138	272	285
Phum-OR502AA_001_000799.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0481125.1	0	0	2
Phum-OR502AA_001_000798.1	eggnog	gag-polypeptide of LTR copia-type	0	0	0
Phum-OR502AA_001_000100.1	eggnog	domain-containing protein	49	117	113
Phum-OR502AA_001_000101.1	eggnog	Helicase associated domain (HA2) Add an annotation	273	449	594
Phum-OR502AA_001_000797.1	eggnog	Chaperonin 10 Kd subunit	2146	1722	2558
Phum-OR502AA_001_000102.1	unannotated	Hypothetical protein of unknown function	8	11	25
Phum-OR502AA_001_000796.1	eggnog	chromatin organization	170	277	384
Phum-OR502AA_001_000103.1	eggnog	Bacterial transferase hexapeptide (six repeats)	148	211	366
Phum-OR502AA_001_000795.1	interproscan	PTHR47242 domain-containing protein	11	13	22
Phum-OR502AA_001_000104.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000105.1	eggnog	CHORD	424	683	826
Phum-OR502AA_001_000106.1	eggnog	Domain present in phytochromes and cGMP-specific phosphodiesterases	8	16	29
Phum-OR502AA_001_000794.1	eggnog	Exportin 1-like protein	417	552	814
Phum-OR502AA_001_000793.1	eggnog	Protein tyrosine kinase	0	57.637	112.169
Phum-OR502AA_001_000107.1	eggnog	Protein tyrosine kinase	0	48.363	120.831
Phum-OR502AA_001_000792.1	eggnog	Leucine-rich repeat	0	50	115
Phum-OR502AA_001_000791.1	blastp	Homology to Phytophthora cactorum predicted protein KAG3019741.1	58	102	93
Phum-OR502AA_001_000790.1	eggnog	DHHA2	193	200	291
Phum-OR502AA_001_000108.1	interproscan	PTHR31142 domain-containing protein	166	416	548
Phum-OR502AA_001_000109.1	eggnog	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	639	869	1235
Phum-OR502AA_001_000110.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	47	391	317
Phum-OR502AA_001_000111.1	eggnog	Inositol polyphosphate phosphatase, catalytic domain homologues	6	81	88
Phum-OR502AA_001_000789.1	eggnog	Belongs to the mitochondrial carrier (TC 2.A.29) family	143	89	137
Phum-OR502AA_001_000788.1	eggnog	domain-containing protein	642	1660	1681
Phum-OR502AA_001_000112.1	eggnog	Domain present in phytochromes and cGMP-specific phosphodiesterases	316	569	778
Phum-OR502AA_001_000787.1	unannotated	Hypothetical protein of unknown function	0	6	5
Phum-OR502AA_001_000786.1	eggnog	cAMP-dependent protein kinase regulator activity	0	10	34
Phum-OR502AA_001_000785.1	eggnog	cAMP-dependent protein kinase regulator activity	0	1	0
Phum-OR502AA_001_000784.1	eggnog	KRI1-like family	401	361	441
Phum-OR502AA_001_000113.1	eggnog	Cyclin	173	200	280
Phum-OR502AA_001_000783.1	eggnog	domain-containing protein	365	614	788
Phum-OR502AA_001_000114.1	eggnog	Protein tyrosine kinase	3667	5058	7781
Phum-OR502AA_001_000782.1	blastp	Homology to predicted protein KAH7500783.1	0	29	24
Phum-OR502AA_001_000781.1	eggnog	Zinc-finger double-stranded RNA-binding	136	173	201
Phum-OR502AA_001_000780.1	eggnog	ELMO/CED-12 family	300	433	590
Phum-OR502AA_001_000115.1	eggnog	CLASP N terminal	205	308	413
Phum-OR502AA_001_000116.1	eggnog	PRELI-like family	224	420	697
Phum-OR502AA_001_000779.1	eggnog	regulatory subunit	1046	1706	2362
Phum-OR502AA_001_000117.1	blastp	Homology to Phytophthora fragariae predicted protein KAE9328801.1	14	51	72
Phum-OR502AA_001_000778.1	eggnog	domain-containing protein	895	609	931
Phum-OR502AA_001_000118.1	blastp	Homology to Hyaloperonospora brassicae predicted protein CAI5730921.1	4554	3857	6325
Phum-OR502AA_001_000119.1	eggnog	Phosphoglycerate mutase family	726	1411	2289
Phum-OR502AA_001_000777.1	eggnog	assists the folding of proteins upon ATP hydrolysis	2544	3450	4058
Phum-OR502AA_001_000120.1	blastp	Homology to Phytophthora nicotianae predicted protein ETL79320.1	454	461	773
Phum-OR502AA_001_000776.1	eggnog	WD domain, G-beta repeat	197	1408	1173
Phum-OR502AA_001_000121.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6614077.1	42	174	260
Phum-OR502AA_001_000122.1	eggnog	domain-containing protein	101	145	206
Phum-OR502AA_001_000123.1	eggnog	WD domain, G-beta repeat	3	86	112
Phum-OR502AA_001_000775.1	blastp	Homology to Phytophthora cactorum predicted protein KAG3025035.1	113	235	320
Phum-OR502AA_001_000774.1	eggnog	CRM1 C terminal	1907	2766	3482
Phum-OR502AA_001_000124.1	eggnog	Prokaryotic RING finger family 4	211	495	606
Phum-OR502AA_001_000125.1	eggnog	PPIases accelerate the folding of proteins	40	57	137
Phum-OR502AA_001_000773.1	eggnog	Stage II sporulation protein E (SpoIIE)	84	89	161
Phum-OR502AA_001_000772.1	eggnog	Necrosis inducing protein (NPP1)	2525	2168	3986
Phum-OR502AA_001_000771.1	eggnog	Necrosis inducing protein (NPP1)	0	0	1
Phum-OR502AA_001_000126.1	eggnog	Necrosis inducing protein (NPP1)	0	0	0
Phum-OR502AA_001_000127.1	eggnog	TAZ zinc finger	47	81	105
Phum-OR502AA_001_000128.1	eggnog	TAZ zinc finger	528	711	1105
Phum-OR502AA_001_000770.1	eggnog	domain-containing protein	38	104	130
Phum-OR502AA_001_000769.1	eggnog	Major Facilitator Superfamily	2	7	27
Phum-OR502AA_001_000768.1	eggnog	Conserved oligomeric Golgi complex subunit 4	2304	2968	3773
Phum-OR502AA_001_000129.1	eggnog	V-ATPase subunit H	1137	1714	2252
Phum-OR502AA_001_000767.1	eggnog	Peroxisomal biogenesis factor 11 (PEX11)	223	400	436
Phum-OR502AA_001_000130.1	eggnog	domain-containing protein	101	237	248
Phum-OR502AA_001_000766.1	eggnog	Protein tyrosine kinase	87	297	768
Phum-OR502AA_001_000765.1	eggnog	Prefoldin subunit	256	371	553
Phum-OR502AA_001_000764.1	eggnog	Belongs to the ubiquitin-conjugating enzyme family	5	22	30
Phum-OR502AA_001_000763.1	eggnog	Zn_pept	642	630	959
Phum-OR502AA_001_000762.1	eggnog	Gamma-glutamyltranspeptidase	474	428	650
Phum-OR502AA_001_000761.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAJ8576080.1	2055	556	558
Phum-OR502AA_001_000131.1	eggnog	ZIP Zinc transporter	616	198	174
Phum-OR502AA_001_000760.1	eggnog	Necrosis inducing protein (NPP1)	49.748	162.654	186.936
Phum-OR502AA_001_000132.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000133.1	eggnog	Necrosis inducing protein (NPP1)	914.252	1493.346	1853.567
Phum-OR502AA_001_000759.1	eggnog	domain-containing protein	847	640	887
Phum-OR502AA_001_000134.1	eggnog	HMGL-like	94	89	167
Phum-OR502AA_001_000135.1	eggnog	HMGL-like	56	88	104
Phum-OR502AA_001_000136.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000758.1	eggnog	Necrosis inducing protein (NPP1)	108.304	215.233	245.058
Phum-OR502AA_001_000757.1	eggnog	Necrosis inducing protein (NPP1)	23.696	42.767	141.439
Phum-OR502AA_001_000756.1	eggnog	aspartic endopeptidase activity, intramembrane cleaving	5253	4724	7091
Phum-OR502AA_001_000137.1	eggnog	1-phosphatidylinositol 4-kinase activity	651	1663	2220
Phum-OR502AA_001_000755.1	eggnog	BT1 family	199	218	332
Phum-OR502AA_001_000138.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_001_000139.1	unannotated	Hypothetical protein of unknown function	5	5	23
Phum-OR502AA_001_000140.1	eggnog	phosphoglycerate mutase. Source PGD	0	0	0
Phum-OR502AA_001_000141.1	interproscan	PTHR31245 domain-containing protein	193	391	565
Phum-OR502AA_001_000754.1	eggnog	N-glycan processing to lysosome	566	803	1157
Phum-OR502AA_001_000753.1	blastp	Homology to Phytophthora cactorum predicted protein KAG4060938.1	171	323	401
Phum-OR502AA_001_000752.1	unannotated	Hypothetical protein of unknown function	7	5	11
Phum-OR502AA_001_000142.1	unannotated	Hypothetical protein of unknown function	297	213	434
Phum-OR502AA_001_000751.1	eggnog	Sperm-tail PG-rich repeat	2	19	17
Phum-OR502AA_001_000143.1	eggnog	Calcineurin-like phosphoesterase	49	72	102
Phum-OR502AA_001_000750.1	blastp	Homology to Phytophthora capsici predicted protein KAG1685390.1	3939	3982	5144
Phum-OR502AA_001_000144.1	eggnog	Pyridine nucleotide-disulphide oxidoreductase	688	912	1365
Phum-OR502AA_001_000749.1	eggnog	Putative zinc finger in N-recognin (UBR box)	150	208	376
Phum-OR502AA_001_000145.1	eggnog	LYAR-type C2HC zinc finger	88	51	69
Phum-OR502AA_001_000146.1	unannotated	Hypothetical protein of unknown function	37	44	77
Phum-OR502AA_001_000748.1	eggnog	Thioredoxin	4097	5253	8161
Phum-OR502AA_001_000147.1	eggnog	PhoX homologous domain, present in p47phox and p40phox	63	55	114
Phum-OR502AA_001_000747.1	eggnog	GDSL-like Lipase/Acylhydrolase	139	223	241
Phum-OR502AA_001_000148.1	blastp	Homology to Phytophthora cactorum predicted protein KAG4047696.1	21	80	98
