id	source	Description
Pcub-SC1982_001_001081.1	eggnog	Amino-terminal Zinc-binding domain of ubiquitin ligase E3A
Pcub-SC1982_001_001080.1	eggnog	domain-containing protein
Pcub-SC1982_001_000013.1	eggnog	Phosphoglycerate mutase family
Pcub-SC1982_001_000014.1	eggnog	Source PGD
Pcub-SC1982_001_000015.1	blastp	Homology to Phytophthora idaei predicted protein KAG3109077.1
Pcub-SC1982_001_001079.1	interproscan	G3DSA:1.25.10.10 domain-containing protein
Pcub-SC1982_001_001078.1	eggnog	MAP kinase kinase kinase activity (Stkld1)
Pcub-SC1982_001_000016.1	eggnog	Heat shock chaperonin-binding motif
Pcub-SC1982_001_000017.1	eggnog	Heat shock chaperonin-binding motif
Pcub-SC1982_001_000018.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7379857.1
Pcub-SC1982_001_000019.1	blastp	Homology to Phytophthora nicotianae predicted protein ETI33336.1
Pcub-SC1982_001_000020.1	interproscan	G3DSA:3.20.90.10 domain-containing protein
Pcub-SC1982_001_000021.1	interproscan	PTHR47236 domain-containing protein
Pcub-SC1982_001_001077.1	eggnog	Cellulose synthase
Pcub-SC1982_001_000022.1	blastp	Homology to Phytophthora palmivora predicted protein POM60557.1
Pcub-SC1982_001_001076.1	eggnog	Ankyrin repeats (many copies)
Pcub-SC1982_001_001075.1	eggnog	Choline/ethanolamine kinase
Pcub-SC1982_001_001074.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6945288.1
Pcub-SC1982_001_001073.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001072.1	interproscan	PTHR31973 domain-containing protein
Pcub-SC1982_001_001071.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6945288.1
Pcub-SC1982_001_001070.1	eggnog	Elongation factor Tu domain 2
Pcub-SC1982_001_001069.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001068.1	eggnog	Belongs to the glycosyl hydrolase 12 (cellulase H) family
Pcub-SC1982_001_001067.1	eggnog	domain-containing protein
Pcub-SC1982_001_000023.1	eggnog	domain-containing protein
Pcub-SC1982_001_000024.1	blastp	Homology to Peronospora destructor predicted protein CAI5745570.1
Pcub-SC1982_001_000025.1	eggnog	Dynein light chain type 1
Pcub-SC1982_001_000026.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ20583.1
Pcub-SC1982_001_001066.1	eggnog	domain-containing protein
Pcub-SC1982_001_000027.1	blastp	Homology to Plasmopara viticola predicted protein QUJ09343.1
Pcub-SC1982_001_001065.1	eggnog	domain-containing protein
Pcub-SC1982_001_001064.1	eggnog	Ubiquinone biosynthesis protein COQ7
Pcub-SC1982_001_000028.1	eggnog	intra-Golgi vesicle-mediated transport
Pcub-SC1982_001_000029.1	eggnog	Cellulase (glycosyl hydrolase family 5)
Pcub-SC1982_001_000030.1	eggnog	Conserved gene of
Pcub-SC1982_001_000031.1	eggnog	Cellulase (glycosyl hydrolase family 5)
Pcub-SC1982_001_000032.1	eggnog	2-oxoglutarate dehydrogenase N-terminus
Pcub-SC1982_001_000033.1	eggnog	Transglutaminase elicitor
Pcub-SC1982_001_000034.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000035.1	eggnog	Transglutaminase elicitor
Pcub-SC1982_001_001063.1	eggnog	Transglutaminase elicitor
Pcub-SC1982_001_000036.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001062.1	eggnog	Transglutaminase elicitor
Pcub-SC1982_001_001061.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001060.1	eggnog	Transglutaminase elicitor
Pcub-SC1982_001_000037.1	eggnog	Transglutaminase elicitor
Pcub-SC1982_001_000038.1	eggnog	Transglutaminase elicitor
Pcub-SC1982_001_000039.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_001059.1	blastp	Homology to Phytophthora nicotianae predicted protein ETL84038.1
Pcub-SC1982_001_000040.1	eggnog	domain-containing protein
Pcub-SC1982_001_001058.1	blastp	Homology to Phytophthora infestans predicted protein KAI9994329.1
Pcub-SC1982_001_001057.1	eggnog	domain-containing protein
Pcub-SC1982_001_001056.1	eggnog	Cation efflux family
Pcub-SC1982_001_001055.1	eggnog	Myosin. Large ATPases
Pcub-SC1982_001_000041.1	eggnog	domain-containing protein
Pcub-SC1982_001_000042.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7489026.1
Pcub-SC1982_001_001054.1	eggnog	Carbon-nitrogen hydrolase
Pcub-SC1982_001_000043.1	eggnog	domain-containing protein
Pcub-SC1982_001_000044.1	eggnog	domain-containing protein
Pcub-SC1982_001_000045.1	eggnog	domain-containing protein
Pcub-SC1982_001_001053.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6955863.1
Pcub-SC1982_001_001052.1	eggnog	GTPase activity (GPN1)
Pcub-SC1982_001_001051.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_001050.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_001049.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8895690.1
Pcub-SC1982_001_001048.1	eggnog	Belongs to the histidine acid phosphatase family
Pcub-SC1982_001_000046.1	interproscan	G3DSA:1.25.40.10 domain-containing protein
Pcub-SC1982_001_001047.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_001046.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_001045.1	eggnog	domain-containing protein
Pcub-SC1982_001_000047.1	eggnog	OST3 / OST6 family, transporter family
Pcub-SC1982_001_000048.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000049.1	eggnog	OST3 / OST6 family, transporter family
Pcub-SC1982_001_000050.1	eggnog	Crinkler (CRN) family protein
Pcub-SC1982_001_000051.1	eggnog	Crinkler (CRN) family protein
Pcub-SC1982_001_000052.1	eggnog	domain-containing protein
Pcub-SC1982_001_001044.1	eggnog	Rubisco LSMT substrate-binding
Pcub-SC1982_001_000053.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7378093.1
Pcub-SC1982_001_001043.1	eggnog	Transcriptional regulator
Pcub-SC1982_001_000054.1	eggnog	Sperm-tail PG-rich repeat
Pcub-SC1982_001_001042.1	eggnog	domain-containing protein
Pcub-SC1982_001_000055.1	interproscan	SSF47954 domain-containing protein
Pcub-SC1982_001_000056.1	eggnog	domain-containing protein
Pcub-SC1982_001_001041.1	eggnog	Protein of unknown function (DUF1336)
Pcub-SC1982_001_000057.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_001040.1	interproscan	G3DSA:1.25.40.10 domain-containing protein
Pcub-SC1982_001_000058.1	interproscan	PTHR13367 domain-containing protein
Pcub-SC1982_001_000059.1	interproscan	PTHR13367 domain-containing protein
Pcub-SC1982_001_000060.1	interproscan	PTHR13367 domain-containing protein
Pcub-SC1982_001_001039.1	interproscan	PTHR13367 domain-containing protein
Pcub-SC1982_001_001038.1	interproscan	PTHR13367 domain-containing protein
Pcub-SC1982_001_000061.1	eggnog	peptidyl-aspartic acid autophosphorylation
Pcub-SC1982_001_001037.1	eggnog	peptidyl-aspartic acid autophosphorylation
Pcub-SC1982_001_001036.1	eggnog	peptidyl-aspartic acid autophosphorylation
Pcub-SC1982_001_000062.1	eggnog	peptidyl-aspartic acid autophosphorylation
Pcub-SC1982_001_000063.1	eggnog	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP
Pcub-SC1982_001_001035.1	eggnog	domain-containing protein
Pcub-SC1982_001_000064.1	eggnog	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Pcub-SC1982_001_001034.1	eggnog	domain-containing protein
Pcub-SC1982_001_000065.1	eggnog	diguanylate cyclase activity
Pcub-SC1982_001_001033.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6620760.1
Pcub-SC1982_001_001032.1	eggnog	domain-containing protein
Pcub-SC1982_001_000066.1	eggnog	Ubiquitin carboxyl-terminal hydrolase, family 1
Pcub-SC1982_001_000067.1	eggnog	Ubiquitin carboxyl-terminal hydrolase, family 1
Pcub-SC1982_001_000068.1	interproscan	PTHR36453 domain-containing protein
Pcub-SC1982_001_001031.1	eggnog	Extension to Ser/Thr-type protein kinases
Pcub-SC1982_001_001030.1	blastp	Homology to Peronospora effusa predicted protein UIZ28985.1
Pcub-SC1982_001_001029.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000069.1	eggnog	Endonuclease/Exonuclease/phosphatase family
Pcub-SC1982_001_001028.1	eggnog	domain-containing protein
Pcub-SC1982_001_001027.1	blastp	Homology to Phytophthora capsici predicted protein KAG1690388.1
Pcub-SC1982_001_000070.1	eggnog	histone-lysine N-methyltransferase activity
Pcub-SC1982_001_001026.1	eggnog	Arginine methyltransferase involved in the assembly or stability of mitochondrial NADH ubiquinone oxidoreductase complex (complex I)
Pcub-SC1982_001_000071.1	eggnog	Sec1 family
Pcub-SC1982_001_000072.1	eggnog	ROK family
Pcub-SC1982_001_000073.1	eggnog	Thioredoxin-like
Pcub-SC1982_001_001025.1	eggnog	ATPase activity
Pcub-SC1982_001_001024.1	eggnog	ATPase activity
Pcub-SC1982_001_000074.1	eggnog	calcium-dependent phospholipid binding
Pcub-SC1982_001_000075.1	eggnog	Trehalose-phosphatase
Pcub-SC1982_001_001023.1	eggnog	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes
Pcub-SC1982_001_001022.1	blastp	Homology to Phytophthora lilii predicted protein GMF27326.1
Pcub-SC1982_001_000076.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6951673.1
Pcub-SC1982_001_001021.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2759941.1
Pcub-SC1982_001_001020.1	eggnog	Leucine Rich repeat
Pcub-SC1982_001_000077.1	eggnog	rRNA methyltransferase
Pcub-SC1982_001_001019.1	eggnog	Microtubule-binding protein MIP-T3
Pcub-SC1982_001_000078.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0521410.1
Pcub-SC1982_001_000079.1	eggnog	Regulator of Vps4 activity in the MVB pathway
Pcub-SC1982_001_000080.1	interproscan	PTHR34396 domain-containing protein
Pcub-SC1982_001_001018.1	eggnog	Fumarylacetoacetase N-terminal
Pcub-SC1982_001_000081.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000082.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000083.1	blastp	Homology to Peronospora effusa predicted protein RMX65366.1
Pcub-SC1982_001_001017.1	blastp	Homology to Phytophthora palmivora predicted protein POM61310.1
Pcub-SC1982_001_001016.1	eggnog	Prokaryotic RING finger family 4
Pcub-SC1982_001_000084.1	eggnog	Uncharacterized protein family UPF0004
Pcub-SC1982_001_001015.1	eggnog	Prefoldin subunit
Pcub-SC1982_001_001014.1	interproscan	G3DSA:1.10.260.100 domain-containing protein
Pcub-SC1982_001_000085.1	eggnog	Ketopantoate hydroxymethyltransferase (PANB)
Pcub-SC1982_001_001013.1	blastp	Homology to Phytophthora nicotianae predicted protein ETM00906.1
Pcub-SC1982_001_001012.1	eggnog	Protein C10
Pcub-SC1982_001_001011.1	blastp	Homology to Phytophthora idaei predicted protein KAG3108486.1
Pcub-SC1982_001_001010.1	eggnog	snRNP Sm proteins
Pcub-SC1982_001_000086.1	eggnog	N2227
Pcub-SC1982_001_000087.1	eggnog	domain-containing protein
Pcub-SC1982_001_001009.1	eggnog	domain-containing protein
Pcub-SC1982_001_000088.1	eggnog	Short calmodulin-binding motif containing conserved Ile and Gln residues
Pcub-SC1982_001_001008.1	eggnog	domain-containing protein
Pcub-SC1982_001_000089.1	eggnog	Surfeit locus protein 2 (SURF2)
Pcub-SC1982_001_000090.1	eggnog	Activator of Hsp90 ATPase, N-terminal
Pcub-SC1982_001_000091.1	eggnog	domain-containing protein
Pcub-SC1982_001_000092.1	eggnog	RNA recognition motif
Pcub-SC1982_001_001007.1	eggnog	Fatty acid desaturase
Pcub-SC1982_001_000093.1	eggnog	Ribosomal protein L36e
Pcub-SC1982_001_000094.1	eggnog	3'5'-cyclic nucleotide phosphodiesterase
Pcub-SC1982_001_000095.1	eggnog	3'5'-cyclic nucleotide phosphodiesterase
Pcub-SC1982_001_001006.1	interproscan	PTHR36068 domain-containing protein
Pcub-SC1982_001_001005.1	interproscan	PH-GRAM_WBP2 (cd13214)
Pcub-SC1982_001_000096.1	eggnog	domain-containing protein
Pcub-SC1982_001_001004.1	eggnog	domain-containing protein
Pcub-SC1982_001_001003.1	eggnog	domain-containing protein
Pcub-SC1982_001_000097.1	eggnog	HOOK protein
Pcub-SC1982_001_001002.1	eggnog	Armadillo-like
Pcub-SC1982_001_001001.1	eggnog	Cgr1 family
Pcub-SC1982_001_001000.1	eggnog	domain-containing protein
Pcub-SC1982_001_000999.1	eggnog	GMP-PDE, delta subunit
Pcub-SC1982_001_000098.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7380906.1
Pcub-SC1982_001_000998.1	eggnog	Mitochondrial carrier protein
Pcub-SC1982_001_000997.1	eggnog	Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation
Pcub-SC1982_001_000996.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000995.1	eggnog	domain-containing protein
Pcub-SC1982_001_000994.1	eggnog	Translocation protein SEC63
Pcub-SC1982_001_000099.1	eggnog	Ankyrin repeats (3 copies)
Pcub-SC1982_001_000100.1	blastp	Homology to Phytophthora idaei predicted protein KAG3240576.1
Pcub-SC1982_001_000101.1	eggnog	Phosphatidylethanolamine-binding protein
Pcub-SC1982_001_000993.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7380896.1
Pcub-SC1982_001_000102.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6622138.1
Pcub-SC1982_001_000103.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1946482.1
Pcub-SC1982_001_000992.1	eggnog	Ankyrin repeat
Pcub-SC1982_001_000104.1	eggnog	RNA pseudouridylate synthase
Pcub-SC1982_001_000991.1	eggnog	Kinase-like
Pcub-SC1982_001_000105.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2787582.1
Pcub-SC1982_001_000990.1	eggnog	Ion channel
Pcub-SC1982_001_000989.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2787582.1
Pcub-SC1982_001_000106.1	blastp	Homology to Phytophthora rubi predicted protein KAE9024329.1
Pcub-SC1982_001_000988.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6622252.1
Pcub-SC1982_001_000987.1	blastp	Homology to Peronospora farinosa predicted protein CAH0489222.1
Pcub-SC1982_001_000107.1	eggnog	Voltage gated chloride channel
Pcub-SC1982_001_000108.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1946490.1
Pcub-SC1982_001_000109.1	eggnog	domain-containing protein
Pcub-SC1982_001_000986.1	eggnog	Tetratricopeptide repeat
Pcub-SC1982_001_000110.1	eggnog	myo-inositol hexakisphosphate metabolic process
Pcub-SC1982_001_000111.1	eggnog	AMP-binding enzyme
Pcub-SC1982_001_000112.1	blastp	Homology to Phytophthora nicotianae predicted protein ETL25113.1
Pcub-SC1982_001_000985.1	eggnog	domain-containing protein
Pcub-SC1982_001_000984.1	eggnog	Domain present in PSD-95, Dlg, and ZO-1/2
Pcub-SC1982_001_000113.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6965767.1
Pcub-SC1982_001_000983.1	eggnog	Protein phosphatase 2C
Pcub-SC1982_001_000982.1	eggnog	Protein of unknown function (DUF2034)
Pcub-SC1982_001_000114.1	blastp	Homology to Peronospora destructor predicted protein CAI5724410.1
Pcub-SC1982_001_000115.1	eggnog	Tubulin-tyrosine ligase family
Pcub-SC1982_001_000981.1	eggnog	Protein of unknown function (DUF812)
Pcub-SC1982_001_000116.1	eggnog	domain-containing protein
Pcub-SC1982_001_000117.1	eggnog	Tubulin-tyrosine ligase family
Pcub-SC1982_001_000118.1	eggnog	Protein of unknown function (DUF812)
Pcub-SC1982_001_000980.1	eggnog	Voltage gated chloride channel
Pcub-SC1982_001_000979.1	interproscan	G3DSA:3.80.10.10 domain-containing protein
Pcub-SC1982_001_000978.1	eggnog	NDK
Pcub-SC1982_001_000119.1	eggnog	Huntingtin-interacting protein
Pcub-SC1982_001_000977.1	eggnog	domain-containing protein
Pcub-SC1982_001_000120.1	eggnog	Ion transport protein
Pcub-SC1982_001_000976.1	eggnog	RNA recognition motif
Pcub-SC1982_001_000975.1	eggnog	Aldolase/RraA
Pcub-SC1982_001_000121.1	eggnog	Leishmanolysin-like peptidase. Source PGD
Pcub-SC1982_001_000974.1	eggnog	L-threonine 3-dehydrogenase activity
Pcub-SC1982_001_000122.1	eggnog	Aldolase/RraA
Pcub-SC1982_001_000973.1	eggnog	domain-containing protein
Pcub-SC1982_001_000123.1	interproscan	G3DSA:3.80.10.10 domain-containing protein
Pcub-SC1982_001_000124.1	interproscan	G3DSA:2.30.29.30 domain-containing protein
Pcub-SC1982_001_000972.1	eggnog	Ankyrin repeats (many copies)
Pcub-SC1982_001_000125.1	eggnog	Sulfate permease family
Pcub-SC1982_001_000971.1	eggnog	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins
Pcub-SC1982_001_000970.1	eggnog	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate
Pcub-SC1982_001_000126.1	eggnog	diffuse panbronchiolitis critical region
Pcub-SC1982_001_000969.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0482742.1
Pcub-SC1982_001_000127.1	eggnog	domain-containing protein
Pcub-SC1982_001_000968.1	eggnog	Ketopantoate reductase PanE/ApbA C terminal
Pcub-SC1982_001_000128.1	eggnog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Pcub-SC1982_001_000129.1	eggnog	Calpain family cysteine protease
Pcub-SC1982_001_000967.1	eggnog	domain-containing protein
Pcub-SC1982_001_000130.1	eggnog	domain-containing protein
Pcub-SC1982_001_000966.1	eggnog	Calpain family cysteine protease
Pcub-SC1982_001_000965.1	eggnog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Pcub-SC1982_001_000131.1	eggnog	Ketopantoate reductase PanE/ApbA C terminal
Pcub-SC1982_001_000964.1	eggnog	domain-containing protein
Pcub-SC1982_001_000132.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0482742.1
Pcub-SC1982_001_000133.1	eggnog	ZIP Zinc transporter
Pcub-SC1982_001_000134.1	blastp	Homology to Phytophthora palmivora predicted protein POM59165.1
Pcub-SC1982_001_000135.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000963.1	eggnog	AFG1-like ATPase
Pcub-SC1982_001_000962.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6967967.1
Pcub-SC1982_001_000136.1	eggnog	tRNA methyl transferase
Pcub-SC1982_001_000137.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000138.1	eggnog	WD domain, G-beta repeat
Pcub-SC1982_001_000961.1	eggnog	Vacuolar 14 Fab1-binding region
Pcub-SC1982_001_000139.1	eggnog	ribonuclease III activity
Pcub-SC1982_001_000960.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7468587.1
Pcub-SC1982_001_000959.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8884843.1
Pcub-SC1982_001_000958.1	eggnog	Belongs to the TRAFAC class dynamin-like GTPase superfamily
Pcub-SC1982_001_000140.1	eggnog	FKBP-type peptidyl-prolyl cis-trans isomerase
Pcub-SC1982_001_000141.1	eggnog	domain-containing protein
Pcub-SC1982_001_000957.1	eggnog	domain-containing protein
Pcub-SC1982_001_000142.1	eggnog	domain-containing protein
Pcub-SC1982_001_000956.1	eggnog	domain-containing protein
Pcub-SC1982_001_000955.1	eggnog	FKBP-type peptidyl-prolyl cis-trans isomerase
Pcub-SC1982_001_000143.1	eggnog	domain-containing protein
Pcub-SC1982_001_000144.1	eggnog	Protein phosphatase inhibitor 2 (IPP-2)
Pcub-SC1982_001_000954.1	eggnog	Sperm-tail PG-rich repeat
Pcub-SC1982_001_000145.1	eggnog	VIT family
Pcub-SC1982_001_000146.1	eggnog	Beta-glucan synthesis-associated protein (SKN1)
Pcub-SC1982_001_000147.1	eggnog	Calcineurin-like phosphoesterase
Pcub-SC1982_001_000148.1	eggnog	BT1 family
Pcub-SC1982_001_000149.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000953.1	eggnog	BT1 family
Pcub-SC1982_001_000150.1	eggnog	Calcineurin-like phosphoesterase
Pcub-SC1982_001_000151.1	eggnog	BT1 family
Pcub-SC1982_001_000952.1	eggnog	Calcineurin-like phosphoesterase
Pcub-SC1982_001_000951.1	eggnog	BT1 family
Pcub-SC1982_001_000950.1	blastp	Homology to Phytophthora infestans predicted protein XP_002906649.1
Pcub-SC1982_001_000949.1	eggnog	BT1 family
Pcub-SC1982_001_000948.1	eggnog	BT1 family
Pcub-SC1982_001_000152.1	eggnog	Signal recognition particle receptor beta subunit
Pcub-SC1982_001_000947.1	eggnog	Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of ATP and thus represents the only step of substrate- level phosphorylation in the TCA
Pcub-SC1982_001_000153.1	interproscan	SSF56112 domain-containing protein
Pcub-SC1982_001_000154.1	eggnog	Belongs to the CTL (choline transporter-like) family
Pcub-SC1982_001_000946.1	eggnog	Type III restriction enzyme, res subunit
Pcub-SC1982_001_000155.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_000945.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_000944.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ18100.1
Pcub-SC1982_001_000156.1	blastp	Homology to Phytophthora palmivora predicted protein POM71824.1
Pcub-SC1982_001_000157.1	blastp	Homology to Peronospora effusa predicted protein RMX66737.1
Pcub-SC1982_001_000943.1	blastp	Homology to Peronospora effusa predicted protein RMX66737.1
Pcub-SC1982_001_000942.1	blastp	Homology to Phytophthora palmivora predicted protein POM71824.1
Pcub-SC1982_001_000941.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7468640.1
Pcub-SC1982_001_000158.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_000159.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_000940.1	eggnog	Protein tyrosine kinase
Pcub-SC1982_001_000939.1	eggnog	RNA ligase
Pcub-SC1982_001_000938.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2760362.1
Pcub-SC1982_001_000160.1	eggnog	microtubule motor activity
Pcub-SC1982_001_000161.1	eggnog	microtubule motor activity
Pcub-SC1982_001_000937.1	interproscan	G3DSA:1.25.40.10 domain-containing protein
Pcub-SC1982_001_000162.1	eggnog	FYVE zinc finger
Pcub-SC1982_001_000163.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7382557.1
Pcub-SC1982_001_000164.1	eggnog	AMP-binding enzyme
Pcub-SC1982_001_000936.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7382557.1
Pcub-SC1982_001_000935.1	interproscan	PTHR13510 domain-containing protein
Pcub-SC1982_001_000934.1	eggnog	Metal dependent phosphohydrolases with conserved 'HD' motif
Pcub-SC1982_001_000165.1	eggnog	RNA recognition motif
Pcub-SC1982_001_000933.1	interproscan	PTHR13510 domain-containing protein
Pcub-SC1982_001_000932.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ19000.1
Pcub-SC1982_001_000166.1	eggnog	Regulator of chromosome condensation (RCC1) repeat
Pcub-SC1982_001_000167.1	eggnog	domain-containing protein
Pcub-SC1982_001_000168.1	eggnog	N terminus of Rad21 / Rec8 like protein
Pcub-SC1982_001_000169.1	eggnog	EF-hand, calcium binding motif
Pcub-SC1982_001_000931.1	eggnog	GTP cyclohydrolase I
Pcub-SC1982_001_000170.1	eggnog	domain-containing protein
Pcub-SC1982_001_000930.1	unannotated	Hypothetical protein of unknown function
Pcub-SC1982_001_000171.1	blastp	Homology to Phytophthora lilii predicted protein GMF34042.1
Pcub-SC1982_001_000929.1	eggnog	domain-containing protein
Pcub-SC1982_001_000172.1	eggnog	interleukin-8 biosynthetic process
Pcub-SC1982_001_000928.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1
Pcub-SC1982_001_000927.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1
Pcub-SC1982_001_000926.1	eggnog	Deoxycytidyl transferase involved in DNA repair
Pcub-SC1982_001_000925.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1
Pcub-SC1982_001_000924.1	eggnog	Deoxycytidyl transferase involved in DNA repair
Pcub-SC1982_001_000173.1	eggnog	interleukin-8 biosynthetic process
Pcub-SC1982_001_000923.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1
Pcub-SC1982_001_000922.1	eggnog	Deoxycytidyl transferase involved in DNA repair
Pcub-SC1982_001_000174.1	eggnog	interleukin-8 biosynthetic process
Pcub-SC1982_001_000921.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1
Pcub-SC1982_001_000920.1	eggnog	Deoxycytidyl transferase involved in DNA repair
Pcub-SC1982_001_000919.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1
Pcub-SC1982_001_000918.1	eggnog	Deoxycytidyl transferase involved in DNA repair
Pcub-SC1982_001_000175.1	eggnog	interleukin-8 biosynthetic process
Pcub-SC1982_001_000917.1	blastp	Homology to Plasmopara halstedii predicted protein XP_024576345.1
